	BacDMH6301	BacDMH6302	BacDMH6303	BacDMH6304	BacDMH6305	BacDMH6306	BacDMH6307	BacDMH6308	BacDMH6309	BacDMH6310	BacDMH6311	BacDMH6312	BacDMH6313	BacDMH6314	BacDMH6315	BacWMH6302	BacWMH6303	BacWMH6304	BacWMH6305	BacWMH6306	BacWMH6308	BacWMH6309	BacWMH6310	BacWMH6311	BacWMH6312	BacWMH6313	BacWMH6314	BacWMH6315	BacDMH63ZH01	BacDMH63ZH02	BacDMH63ZH03	BacDMH63ZH04	BacDMH63ZH05	BacDMH63ZH06	BacDMH63ZH07	BacDMH63ZH08	BacDMH63ZH09	BacDMH63ZH10	BacDMH63ZH11	BacDMH63ZH12	BacDMH63ZH13	BacDMH63ZH14	BacDMH63ZH15	BacWMH63ZH01	BacWMH63ZH02	BacWMH63ZH03	BacWMH63ZH04	BacWMH63ZH05	BacWMH63ZH06	BacWMH63ZH07	BacWMH63ZH08	BacWMH63ZH09	BacWMH63ZH10	BacWMH63ZH11	BacWMH63ZH12	BacWMH63ZH13	BacWMH63ZH14	BacWMH63ZH15	BacDWYJ01	BacDWYJ03	BacDWYJ04	BacDWYJ06	BacDWYJ08	BacDWYJ09	BacDWYJ11	BacDWYJ12	BacDWYJ13	BacDWYJ14	BacDWYJ15	BacWWYJ01	BacWWYJ02	BacWWYJ03	BacWWYJ04	BacWWYJ05	BacWWYJ06	BacWWYJ08	BacWWYJ09	BacWWYJ10	BacWWYJ11	BacWWYJ12	BacWWYJ13	BacWWYJ15	Bac2DWYJ01	Bac2DWYJ02	Bac2DWYJ03	Bac2DWYJ04	Bac2DWYJ05	Bac2DWYJ06	Bac2DWYJ07	Bac2DWYJ08	Bac2DWYJ09	Bac2DWYJ10	Bac2DWYJ11	Bac2DWYJ12	Bac2DWYJ13	Bac2DWYJ14	Bac2DWYJ15	Bac2WWYJ01	Bac2WWYJ02	Bac2WWYJ03	Bac2WWYJ05	Bac2WWYJ06	Bac2WWYJ07	Bac2WWYJ08	Bac2WWYJ09	Bac2WWYJ12	Bac2WWYJ13	Bac2WWYJ15	Bac2DMH6301	Bac2DMH6302	Bac2DMH6304	Bac2DMH6305	Bac2DMH6306	Bac2DMH6307	Bac2DMH6308	Bac2DMH6312	Bac2WMH6301	Bac2WMH6302	Bac2WMH6303	Bac2WMH6305	Bac2WMH6306	Bac2WMH6307	Bac2WMH6309	Bac2WMH6310	Bac2WMH6311	Bac2WMH6312	Bac2DMH63ZH01	Bac2DMH63ZH02	Bac2DMH63ZH03	Bac2DMH63ZH04	Bac2DMH63ZH05	Bac2DMH63ZH06	Bac2DMH63ZH07	Bac2DMH63ZH08	Bac2DMH63ZH09	Bac2DMH63ZH10	Bac2DMH63ZH11	Bac2DMH63ZH12	Bac2DMH63ZH13	Bac2DMH63ZH14	Bac2DMH63ZH15	Bac2WMH63ZH01	Bac2WMH63ZH02	Bac2WMH63ZH03	Bac2WMH63ZH04	Bac2WMH63ZH05	Bac2WMH63ZH06	Bac2WMH63ZH07	Bac2WMH63ZH08	Bac2WMH63ZH09	Bac2WMH63ZH10	Bac2WMH63ZH11	Bac2WMH63ZH12	Bac2WMH63ZH13	Bac2WMH63ZH14	Bac2WMH63ZH15	BacDBS01	BacDBS02	BacDBS03	BacDBS04	BacDBS05	BacDBS06	BacWBS01	BacWBS02	BacWBS03	BacWBS04	BacWBS05	BacWBS06	Bac2DBS01	Bac2DBS02	Bac2DBS03	Bac2DBS04	Bac2DBS05	Bac2DBS06	Bac2WBS01	Bac2WBS02	Bac2WBS03	Bac2WBS04	Bac2WBS05
BacWMH6308	18.543223627	155.554557215	56.6705871518	19.8222088157	49.9013207819	28.9598083898	39.5795671533	59.9307605792	35.0805309682	24.4026951792	21.8437277444	25.5954503964	137.150282174	79.6235161381	74.4861876131	11.6521341717	10.3383855194	13.9040229954	9.51328812985	9.0177614357	0.0	13.2317458513	5.30716335392	10.5560025193	12.6567102616	18.1098974277	14.8102679036	9.14059615743	65.142734196	132.763152285	152.955097826	316.659711893	220.21164255	49.3568368348	343.244381517	337.26962129	48.2153081605	567.588239861	143.108599178	148.254639308	107.566104972	112.437814158	40.476509071	58.8625413336	127.285283847	182.773433306	1279.35602871	64.832952441	600.930345651	80.6082958604	780.966652865	41.2584407354	38.9379887411	437.275279644	162.263235817	45.2514942296	233.024670746	258.703337252	212.452766303	124.146144996	196.676375818	175.718518958	97.9857666217	40.0306563789	161.627081714	105.950204831	79.1662853298	46.570154563	139.8057309	33.7366495833	18.0248875808	12.5092202989	14.0383506004	13.7775597033	14.5563323606	10.0392860581	8.2713454918	15.8624112655	11.9710716948	11.934186516	8.02700825702	11.557081176	23.3803177449	18.6114501179	23.9347243637	33.404485636	33.4316434579	25.2403855483	26.5955076196	33.0291952139	20.8825633597	19.5739221697	20.4341891612	17.3446878561	22.7596633868	18.2508118035	28.5600077564	18.9464388055	16.7453156666	16.4552101962	17.3839336184	16.7244889518	19.7328255753	19.5975918583	16.77952881	17.0435315275	20.1151940703	17.3917119542	45.6804252375	90.2810769549	22.5505025355	36.0614092299	27.7306863891	100.769992118	82.6826301654	25.6888607314	28.696615491	18.4077305661	21.1418685892	19.1592201388	15.7222956163	25.6875458076	17.9975539996	21.1020178171	15.8478907788	19.9176607394	27.1881530546	24.7110724797	41.9518975201	57.8123256098	18.3621848478	19.0251709044	37.4149675119	24.0572987174	18.3170271596	33.897748839	51.080924938	28.7660204544	22.0650245964	39.0347143649	18.1333945046	40.0935766267	49.7581440614	24.8655536021	135.66106641	48.1108000382	36.2668028258	37.341352461	32.3706941477	27.4632728611	31.7147993253	54.0200430728	42.5606461808	71.32167748	36.7657653074	46.8460866705	153.333931684	568.160975728	117.536676691	154.100725579	118.599875817	242.871679619	226.618840366	140.756727556	152.262493994	83.488212306	122.78125635	150.356032826	59.7253430141	65.5573913507	64.7800840855	71.2956414853	48.1532893952	55.6341670673	80.6761478604	54.6930301473	55.9804034595	79.8370466791	68.47902612
BacWMH6309	13.5957809326	145.577555708	46.365304256	10.62320027	39.902989024	20.7155122869	33.542059282	53.7800277879	34.3692653908	15.6195822536	12.3901069988	17.502433058	126.729699224	72.760642456	67.2190589813	16.2961364928	14.1941349933	8.16909035293	16.6285800703	6.95436748821	13.2317458513	0.0	12.4329635069	6.31015631297	4.63548172626	20.5084631417	10.3627135104	11.6989531521	55.6673012701	122.67793049	142.941417447	309.122064313	210.237414183	39.7562046492	333.905535731	328.09813151	43.8234772207	564.976056413	133.046689079	143.112274921	99.113571815	107.181912006	41.7482333447	58.0662253864	126.508770429	180.809242994	1279.07315233	62.005967327	600.632295804	75.1102093802	780.93539371	39.8772559196	32.6830255292	437.011188402	161.214604228	39.4214189641	225.918362954	257.041329065	212.179633297	124.324482649	196.670410737	175.421964519	98.4928308802	43.2110332056	161.929130158	106.913514284	81.0144677936	49.5867727687	139.953920403	36.891969717	26.3241807375	19.6346851153	21.4429823095	19.2026816974	22.2164763871	14.2130366907	17.8463226789	22.849918029	21.4870392632	20.961449685	14.0867302264	19.9212907845	30.4884069069	26.326470307	30.8587452142	39.1660898269	38.9823209057	32.0675032925	32.9756522781	38.8856075557	28.2538916888	27.1106320615	27.6865783748	25.1493803453	29.5251965055	25.7444497948	34.9170087938	26.6575018853	24.1545676257	24.0875717633	25.4900480082	24.6382918559	26.9985916869	27.3080087415	24.6318965334	25.0445252216	27.7160694554	25.4570593288	50.0438153592	93.5583248062	29.1837001792	41.378098757	33.4251198392	103.998059408	86.2264517332	31.8280372893	34.281490856	25.9704737713	28.2286965711	26.931177136	23.537880006	32.4091688247	25.5996495473	28.2829273436	23.2606566753	27.63977289	33.0808028667	30.9608797748	46.2864257299	61.9819072851	25.9928655342	25.5559682502	41.930994187	30.9506000531	26.0062674922	39.1811261855	55.0957895965	34.2336447263	28.0174187897	44.1894751762	25.63804202	45.6139429339	54.4129730189	30.3538080646	138.458207529	52.240930082	41.5814269142	43.2061072704	38.0940849199	33.9448103782	37.7436038197	57.6391769699	46.9773257263	74.759676139	42.0552784897	51.9470733614	155.188725632	568.716660667	119.589583396	155.457405684	120.647318763	243.911213283	227.69858968	142.648865048	153.6781564	85.8245820424	124.585238902	151.900096547	62.7055302916	68.4830424327	67.6350717224	74.159229318	51.9093691679	58.889695793	83.0303262609	57.9398527496	59.0403964856	82.1640795119	71.2162701641
BacWMH6310	17.3565291993	155.957218473	56.773210203	18.8700846058	49.9703620199	28.3249084775	38.924417762	59.3820403106	33.8149254099	23.4733690336	20.916949174	24.8686813447	137.685565514	79.3260331292	74.4789335531	9.69961820061	9.64874231991	13.4104664492	8.19710940379	7.52037109807	5.30716335392	12.4329635069	0.0	9.57736653806	12.1668332903	16.6667990043	13.8876893874	6.21188210708	65.3910979358	133.292120417	153.513271501	317.120392569	220.816716632	49.3627441878	343.993172518	337.858336184	48.3066957553	566.9117927	143.536847296	148.324722586	107.851241009	112.163821491	38.4839366553	60.6597118214	128.026258255	183.288165826	1279.51835169	65.7580496646	601.019151464	81.5602527009	780.977325447	42.0013750643	39.8121354384	437.414039641	162.540443258	45.9804335621	234.529724666	259.02398224	211.820952079	123.6871447	195.74889598	174.914280843	97.2271969785	38.6930561683	160.675980778	105.598383356	78.829576806	46.2183764474	139.450041947	33.9980499316	17.2404402724	11.9563920444	12.0175018041	13.4526153423	12.8242496821	8.39481524664	7.62790655035	15.3633615978	11.89194217	10.4915366896	7.79989256519	9.40786302056	23.0422872201	17.5797186707	23.6418843575	33.6073006974	33.467443689	25.0259755699	26.4270308736	33.2117892697	20.234500086	18.6736724282	19.6676406236	15.9614675612	22.2423651486	17.0218022682	28.5308445813	17.9167960884	15.2089469174	14.7609372171	15.9275512724	14.9547162364	18.8555363844	18.6261167975	15.0310612307	15.4083518538	19.0632938575	16.0074483068	46.3715516325	91.1899403194	22.0154958429	36.3427129574	27.773334629	101.758537173	83.6452173306	25.6452199582	28.8418156485	17.3377807395	20.4377052625	18.2342153405	14.2458573115	25.5585994556	16.7580065749	20.4317484639	14.4490690885	19.1679339591	27.2150442155	24.3979833217	42.0232730745	58.5206943846	17.277821672	17.8276376244	37.202436297	23.6923420769	17.146935373	34.1523593601	51.8291189321	28.7670284375	21.4261884217	39.3366830809	16.9239341172	40.6354644149	50.4922851433	24.5918235304	136.767031273	48.650839136	36.3267652663	37.8647626167	32.2443761207	27.3925038798	31.9826998151	54.7619765071	43.136064498	72.3076304995	36.976653541	47.5685947377	153.689399779	568.323683884	117.788812619	154.13552724	118.832795667	243.014271736	226.740336949	141.038358798	152.309452087	83.4308232269	122.851253714	150.456952091	59.5239232379	65.417781369	64.5473774025	71.3212513519	47.826336909	55.3961351963	80.5493826353	54.4365145507	55.6225647394	79.7422574725	68.1921781859
BacWMH6311	14.8700531196	149.050074079	49.9786718951	13.6267006274	43.29380965	23.5103909299	35.5007440578	55.7592852601	33.8989126585	18.9384683633	15.86142175	20.1946435877	130.552104582	74.9544134651	69.7062141841	12.8950783725	11.7303338993	8.09207309374	12.5873938998	4.78951006815	10.5560025193	6.31015631297	9.57736653806	0.0	6.95773820087	17.9741066749	8.40848613728	9.18066024004	59.1063039584	126.182417089	146.607338236	311.996922653	213.891267725	43.7602326863	337.489693966	331.108997067	43.7851709937	565.915855894	136.549895794	144.791943293	101.762091509	108.567059832	40.3406139078	57.8669883985	126.182603568	181.260828371	1279.01905024	62.167659721	600.560321521	76.1685887739	780.857419166	38.3942018146	33.4346444635	436.955853588	161.112272731	39.4033450846	227.880426148	257.405782518	211.366410404	123.147069629	196.360904953	174.532739151	97.3219830005	41.1365192202	161.29812028	105.753176434	79.6160753563	47.8907530285	139.327527397	33.4922798091	22.6288202324	16.5143429857	18.1480843631	15.9805112046	18.7119418422	10.8810491366	14.5472031384	18.6038537196	18.6977348243	17.1396765031	11.4472484989	16.6592265054	28.3424586928	23.7634573742	28.6841236346	37.5062917332	37.3342349304	29.9875101102	30.9110351611	37.1909932648	25.9425421796	24.5539336328	25.2391422853	22.4709128762	27.3379552892	23.0163924228	33.0450314148	23.8091638719	21.1921474014	21.364532286	22.8371753004	21.7849438719	23.8460217187	24.8854828774	21.774267796	22.3338906282	25.2190230497	22.7251152484	48.4817024136	92.911245996	26.7752138551	39.900617992	31.7921913483	103.422960112	85.4750340221	29.6803629162	31.7603149435	23.0717088175	25.7488000933	24.4647042265	20.6266945088	30.1395246123	22.8816719006	25.6045871881	20.5756195356	25.1552607231	31.2283183924	29.0488700564	45.0119051958	60.9458830939	23.4004804502	22.4454017155	40.4518781671	28.7992194982	23.389113232	37.6689748898	54.1084793658	32.3488662359	25.5984634212	42.7068331209	23.0344031537	44.0796709021	53.0644080234	27.1755304158	138.035361952	50.9052043233	39.9019798523	41.6147812528	36.311944917	31.7946335257	35.7366377518	56.4210943211	45.1316811833	73.629984892	40.0772782593	50.5262677506	154.493425174	568.428799738	118.757146598	154.867854827	119.843676545	243.474477198	227.278748074	142.031940736	153.104330162	84.960813199	123.934552545	151.354740691	61.4397160133	67.3478464806	66.5248461665	73.1212179308	50.4696813912	57.6538018865	82.0814774755	56.7296112228	57.8913687049	81.2506166813	70.1073970409
BacWMH6312	13.4134155448	145.096913211	45.9736492574	10.6113778514	39.949237126	20.2972376285	33.8445539887	53.796392096	34.8515731844	15.6097470375	12.2277086992	17.1406566322	126.414568675	72.9278483007	67.0769042123	16.5723410857	13.4608334952	7.86444769254	16.9906327644	7.14204227648	12.6567102616	4.63548172626	12.1668332903	6.95773820087	0.0	21.3063774555	10.1634481694	11.8696721928	54.9446405978	122.528805095	142.440292285	308.680347334	209.752947769	39.8351284863	333.546204088	327.532267864	44.6339877299	565.251632214	132.943478524	142.700763635	98.9056583599	107.126541255	41.7610120026	56.5721306032	126.066590328	180.28582435	1278.88015013	61.0926824801	600.570015489	73.7558805118	780.900737225	39.0084609362	31.5599263181	436.916625008	160.984197955	38.9818754561	224.774415661	256.802036233	213.056402612	125.059253641	197.438891712	175.834119866	99.3319910765	43.9035950966	162.479153977	107.476929072	81.1810283038	50.0142789071	140.793107208	36.642158023	26.079744652	19.3276903282	21.5632769079	18.7628021093	22.1152241006	14.1047244921	17.3418491127	23.2025561895	21.5487098172	21.056258279	13.3175128315	19.9635942287	30.6476391443	26.6275184663	31.0322442815	39.2376092849	39.0581621778	32.1509249628	33.0883099337	38.9372698747	28.4477993217	27.3756989083	27.8821363138	25.4421853716	29.7265652726	26.0419171339	35.0068977299	26.8975535579	24.6341879744	24.4750290075	25.7449466765	24.9820396084	27.4593779109	27.4735133682	25.0316883604	25.3343914757	27.8366808876	25.6586313754	50.2664223768	93.4325429981	29.6314950246	41.4453526937	33.5781857931	103.850051173	86.1255665352	32.1147867049	34.7956404823	26.4144349841	28.4785499038	27.1742722424	23.8259407046	32.550831472	25.9848011895	28.5977373665	23.6785340299	27.8523782453	33.2749197068	31.4266503084	46.3118823215	61.9374900774	26.3656041469	26.4147859603	42.0077843972	31.0966884142	26.3566673366	39.2406703624	55.0264251943	34.3121560975	28.3274999226	44.2101741588	26.1054630722	45.52777052	54.4422463475	31.1070054604	138.183967946	52.0652133629	41.5679209109	43.0960626424	38.1274385603	34.0121188106	37.8364931219	57.6282280685	47.3315327366	74.7337248575	42.0162810994	51.8266784722	154.694388046	568.4741828	119.209865791	155.188787598	120.230461668	243.589561905	227.362799827	142.229290325	153.323106193	85.5539092476	124.218437765	151.545562785	62.6848952827	68.3417910648	67.5799987654	74.0157058813	51.8385725676	58.8400653305	82.953035966	57.943623853	59.0635118684	82.0823352109	71.1103775202
BacWMH6313	22.0524348737	157.896813189	60.3546294049	25.145775225	53.7916705026	32.2795206646	40.1467319602	58.818207152	34.2569417712	29.2343040477	26.4991087421	31.1989597625	140.220323982	80.8345707895	75.6996292538	15.7141892972	17.6108752393	20.3955730507	16.6645418627	18.5731482217	18.1098974277	20.5084631417	16.6667990043	17.9741066749	21.3063774555	0.0	18.5529300921	16.7192978376	67.5267699526	135.097553979	155.547684871	318.098153261	222.816936192	49.3832453836	345.320969565	336.604655053	47.0563981624	566.188892528	144.965954081	148.249580135	110.305360625	109.110404883	37.7473368	60.3162322434	127.56125365	183.360240265	1279.13993466	65.1359586328	600.932661642	81.0209821081	780.703195992	39.7380101386	40.4689309597	436.966983841	161.671654172	44.6676281069	234.057476717	258.884470931	204.457350513	115.949222804	192.365711163	170.814104942	89.8943796551	33.584571895	156.985588261	98.8557434841	73.6325646995	43.6503619627	135.912405534	32.3291090215	20.0182180018	19.1114011655	17.7904648766	18.5348327305	17.8548080816	16.937162395	16.9414556288	19.2281954349	16.925008629	17.4644000638	16.5644646742	17.4698296166	27.9479375432	23.3240313024	28.3883683368	37.232428924	36.9270952572	29.4376348386	30.7603088577	36.877230042	25.6242440914	24.4646928622	25.4439529746	22.5891933151	27.3205064547	22.5827598888	32.6923736023	23.1493459988	21.2762064416	21.4629130905	22.5177458604	21.469769049	23.3991901304	24.4003160354	21.5324135478	22.0102594045	24.7518560171	22.1709994195	47.7679613301	91.8670618561	26.4744557108	39.5784942988	31.9097790551	102.928257682	84.6077635616	29.3592982977	31.7198934313	22.8753367823	25.3531988893	24.1366999577	20.8589436796	29.418160124	22.608640587	25.1083972379	21.4219288827	24.7288915906	31.1018128344	28.7090037682	43.9105829309	60.4887854141	23.1055519911	21.8322695249	39.4064581084	28.2666201738	22.8806435116	37.5156412269	53.4525479887	31.9150497326	25.2675802481	41.5448996428	22.5928051249	43.4710856437	52.3689484315	27.3462718412	137.542893607	50.4456620287	39.7341730285	40.9101965662	35.3859678455	30.4764556169	35.1136049119	56.6598069084	45.1144937833	73.234964381	38.4427325204	49.6324927566	152.747124931	567.367656486	116.942327677	153.694119613	118.088650909	242.27534836	226.294211433	141.063616161	152.014704228	83.779095688	122.974049661	150.409476771	60.2260041013	66.8511637329	65.9967802704	72.6887472659	49.8934788925	57.1944516617	81.5795345512	56.3427902936	57.5056606521	80.77021501	69.7110058609
BacWMH6314	16.0631762346	147.521845079	49.0392807015	15.1547651368	42.8017239846	23.1015628871	35.5298923744	54.7369101669	34.7667911893	19.9094464917	16.4364810086	20.7698217328	129.362623312	74.5267530646	68.9314496716	15.5098950682	14.4561285327	9.90173710662	15.9450407968	10.1218218797	14.8102679036	10.3627135104	13.8876893874	8.40848613728	10.1634481694	18.5529300921	0.0	12.4568960559	57.1367151617	124.80536271	145.070243432	310.568001553	212.301332879	42.6557681908	336.021647566	329.155632242	42.5245488529	565.389340012	135.113825267	143.195442514	100.776346604	107.21446395	40.8160416922	56.6292665464	125.509961676	180.471419217	1278.54979172	60.9759932267	600.393285038	74.0767085866	780.787920038	35.8092151459	31.0137576427	436.914798695	160.783204283	37.3739614745	225.680349104	256.957394638	211.930053063	124.477388583	196.596639988	174.36189776	98.318825166	42.2325898853	161.208341695	106.299226443	79.2151205786	47.9168762031	138.503560302	32.0542251778	24.1443280286	18.6993547725	20.1156869626	17.3012047416	20.6028489589	13.3361973122	17.5047266953	20.2408179282	21.4365689731	19.7238945776	14.246204999	19.5748331365	30.3927388286	26.1123435022	30.5571846639	38.9819704303	38.7681660345	31.733856936	32.5585900782	38.7164680723	28.1543193792	26.8552476576	27.4833998967	25.0239699118	29.4334193925	25.5677978359	34.7718047461	26.0244042153	23.8007556919	24.1342389322	25.5865500484	24.5141373832	26.1279051343	27.2685338955	24.5453981296	25.0390657553	27.5523922263	25.2174319773	48.9929249829	92.9237193579	28.7354071083	41.2069673909	33.4634928072	103.742504573	85.7127046605	31.1339982336	33.3329544688	25.496088527	27.8055701914	26.9034516202	23.2626741252	31.8265384628	25.3667662621	27.7286128963	23.3756329281	27.4858870656	32.9183836068	30.735548155	45.7041839776	61.6197824391	25.7360188956	24.1897119336	41.3156222771	30.6527017087	25.7330679879	39.1371573336	54.7344644207	33.4971716462	26.7553516554	43.4966641888	25.2476984255	45.2388975803	53.9157333346	28.7665969273	138.05072742	51.3916458564	41.2894141509	42.8621690245	37.5791954279	33.3428794208	37.160422197	57.0309175291	46.2687716499	73.9575091299	40.6650003908	51.5097994169	153.891638667	567.900902044	118.201117993	154.608857667	119.352969442	243.083525212	226.981515574	141.96933618	152.891093781	85.066121071	123.883179431	151.248714267	62.2149520607	67.9508845226	67.2309521074	73.6746811286	51.3835376454	58.4345170216	82.5072889645	57.6139903	58.8117665095	81.6080838973	70.7138558652
BacWMH6315	16.1297642536	155.527756223	56.363336253	17.4916310638	49.5249003594	27.9832925421	39.0510951868	59.8238028665	34.07260582	22.8188955182	19.98122739	24.8934448414	137.092715403	79.6923803281	74.3567118915	11.7895665223	12.1412020432	13.0553437853	9.24076399614	7.37636226562	9.14059615743	11.6989531521	6.21188210708	9.18066024004	11.8696721928	16.7192978376	12.4568960559	0.0	64.811858556	132.638577073	152.998675219	316.662182699	220.255934671	48.7659702942	343.725508042	337.59586768	48.2473430896	567.904164254	143.177017937	148.45301534	107.896177352	112.767634182	40.0461915961	63.4386693304	128.930939265	183.849912396	1279.80547865	67.1381440168	601.117988816	83.1703939946	781.201059959	42.9384008663	40.3264003376	437.680146696	163.117504974	46.3238930905	235.04218156	259.731620479	212.570446719	124.006276703	196.746046087	176.965558152	97.7897502889	39.3038197678	161.915902656	105.862916081	79.3317483338	46.1417519112	138.756452091	33.6781689467	18.2157205226	13.0659533575	11.5570193405	14.4913340851	13.1288945344	7.53912901202	10.0236245586	16.0477429003	14.6229178809	12.1942867107	9.71664334137	9.75233653104	23.2976970476	17.45794212	24.1626208135	34.2746647399	33.8506491875	25.3737579094	27.3079628972	33.9511835368	20.3466134695	19.0361782416	20.3075848976	16.1296540867	22.5301520556	17.3927255805	29.1141599758	17.8066253936	14.5487083881	14.0879131329	15.705925324	14.3521444827	18.6629936681	18.6109716881	14.3755766263	14.9560267418	19.3124599436	15.7195121585	46.7918017865	91.8021872805	21.9388305297	36.792173054	28.0319408507	102.518227276	84.3090786368	26.0115649579	28.7989906448	17.0619911157	20.292174101	18.2330742414	13.7090383807	25.9085985593	16.443946134	20.2315049983	13.9699222084	19.3128108375	27.5739540616	24.6928064052	42.0864376022	59.2860342123	17.1769818137	17.4131752584	37.1624539049	24.1120755685	16.9233923725	34.7151999939	52.4833904641	29.0491998484	21.1903600924	40.084699732	16.6720780318	41.4981016558	51.1348258396	24.4833972677	137.630112716	49.3098732206	37.4870579293	38.7110229371	32.925144629	27.7176694267	32.5355588919	55.7124094178	43.5682368958	73.0553245481	37.8441892665	48.5293030953	154.056708877	568.349236761	118.003717708	154.156038536	119.135743621	243.116310423	226.797447507	141.370568453	152.339673664	83.4845185739	123.02112685	150.624225429	59.7809897451	65.9008180697	64.8364562176	71.8749028134	48.1351109309	55.6520835006	80.8828844268	54.6157579101	55.8446002125	80.0312930059	68.7537805204
BacDMH63ZH01	54.3429666181	97.7590524959	22.5673548468	50.3057901465	29.4656950875	41.3577183861	51.0914962718	46.5654488736	65.0016630732	47.0175635406	47.3287573638	47.8803086402	79.5984069191	53.4896540584	54.0579040539	66.8379347457	63.313400128	56.5725189142	69.151937261	60.1451156499	65.142734196	55.6673012701	65.3910979358	59.1063039584	54.9446405978	67.5267699526	57.1367151617	64.811858556	0.0	76.7732830797	91.8769745495	270.867097125	158.794057754	27.9806415807	284.246194471	275.672266848	56.9154096052	552.432850666	83.7372335021	121.448720931	64.477132936	83.6085823715	75.2341740643	64.1753070374	130.451404976	175.037552746	1277.11964596	65.6384393859	601.304899658	55.4035909883	781.72321665	60.8793345724	43.7459277364	437.94155381	163.176779828	48.2371468675	185.656448033	251.227442101	217.66272158	140.410185266	202.739955491	181.461909028	116.585880779	79.7248417896	169.450421947	126.082278928	102.639914531	86.4197100228	154.708375102	75.7316967448	75.5741684556	69.7149819019	72.9835313545	67.2220442917	72.8950735025	65.9281284377	69.1493098037	73.3318898232	71.6099100088	72.993447761	64.388657583	72.2261393844	78.6119388809	77.338440441	78.644683689	81.7362143466	81.8182571479	78.9264873966	78.7611026754	81.4933553951	77.6248351864	77.3417901375	77.1245456618	76.7449995437	77.6551603083	76.5473575051	80.0056868363	77.1730115584	76.1926506135	76.2801703616	77.3118739306	77.0787727972	77.5498821592	77.581107857	77.0299637973	77.1029390792	77.5521900378	76.9911212214	86.6253775448	116.732814735	78.002730164	82.3146304569	77.9613345465	124.269068771	110.694753067	78.2905223079	79.4315624507	77.2083631234	77.5913899217	77.5016929111	75.7091618641	78.8815551415	76.9126446105	77.8287229915	75.0770107443	77.7009709866	78.0717779893	78.1107938646	85.4895233001	93.4024962744	76.9728240216	77.0622387613	83.6543661168	78.3447101013	76.9421526428	80.6223273104	88.209044192	78.5921778226	76.5946111834	83.3063671497	76.8658997352	84.6426462563	89.206497917	77.7261644952	152.222979955	85.5441093693	82.4971430513	83.5163288335	80.9133988765	79.1604542168	80.9815405106	88.650680511	84.8277892384	100.632959566	81.545887253	87.9792577819	168.116285322	571.176974971	136.920997038	169.566210447	137.660291452	252.305053729	237.033160184	158.183106527	168.04538016	111.079273999	142.38394359	166.360232833	94.3883216493	98.1402958185	98.4175698005	102.039958417	88.2382557317	92.4466258579	108.974556705	92.178477757	93.1105765706	108.129664404	100.600191542
BacDMH63ZH02	122.716185353	55.9064025453	81.5821213801	117.854977621	92.2588612082	110.631733901	115.155042898	106.32136031	131.770567545	115.577658303	114.938960396	114.297990074	39.7108702206	102.893752451	97.8338824727	134.975539353	131.480091118	123.954092995	136.876236105	127.834044446	132.763152285	122.67793049	133.292120417	126.182417089	122.528805095	135.097553979	124.80536271	132.638577073	76.7732830797	0.0	49.508837363	236.503772138	102.352847294	93.9258580779	228.505260153	224.057421082	111.939808399	554.470413368	47.6054533026	139.071760328	85.2265566492	114.869441282	137.934723997	117.390657246	163.205314279	193.128346763	1279.32647859	116.392377801	608.956463048	96.9381126553	789.580201244	123.661219739	106.573554784	449.088622863	190.951230471	107.29754569	149.646952842	261.79984881	249.809378437	185.352119086	238.891136956	215.71494127	169.107406366	146.566027506	210.822093402	175.585767845	160.807181684	149.09500898	198.749666053	140.201618331	143.726962134	137.558517376	141.294394006	135.091142877	141.356482427	133.437996601	137.359054839	140.13990079	139.802617277	141.051468764	132.626788061	140.579965559	145.659803941	144.923334514	145.60307076	147.294944582	147.237815399	145.82938184	145.517607662	147.064174912	145.07716513	144.90629145	144.651127136	144.522725442	144.758534597	144.401139351	146.35186538	144.743434084	143.561698985	143.944332687	145.083784218	144.818894615	144.402674805	145.203008143	144.718167899	144.95131033	145.088208278	144.850580468	148.390507134	168.765450126	144.78319604	147.265757337	144.124671206	173.762922941	164.626459832	144.590952117	144.44158891	144.46749092	144.745640275	145.023593955	143.439675774	145.542687299	144.408601343	144.924127816	142.587797301	145.113454613	144.422170944	144.88260197	149.201336169	153.410021055	144.532847281	143.673173376	148.285304285	145.470323183	144.719659998	145.743853142	149.594778989	144.723134487	143.515054742	148.14243054	144.514037968	148.839152524	150.750603746	142.982829341	193.803738618	147.596007483	147.106960219	148.256489401	146.863985136	145.785224973	146.456268215	149.030949779	146.740922817	155.999590122	146.72361511	150.537967656	207.463416309	584.251616341	182.771257352	209.490058133	183.680790298	280.652475282	267.086419207	200.477999077	208.29318083	165.565131517	188.301576159	207.105345851	154.607525347	156.752593028	157.056445123	159.117421269	151.01616947	153.386556236	163.65126219	153.327593497	153.908183859	163.1737609	158.331976311
