Order	Fun2DMH6301	Fun2DMH6302	Fun2DMH6303	Fun2DMH6304	Fun2DMH6305	Fun2DMH6306	Fun2DMH6307	Fun2DMH6308	Fun2DMH6309	Fun2DMH6310	Fun2DMH6311	Fun2DMH6312	Fun2DMH63ZH01	Fun2DMH63ZH02	Fun2DMH63ZH03	Fun2DMH63ZH04	Fun2DMH63ZH05	Fun2DMH63ZH06	Fun2DMH63ZH07	Fun2DMH63ZH08	Fun2DMH63ZH09	Fun2DMH63ZH10	Fun2DMH63ZH11	Fun2DMH63ZH12	Fun2DMH63ZH13	Fun2DMH63ZH14	Fun2DMH63ZH15	Fun2DWYJ01	Fun2DWYJ02	Fun2DWYJ03	Fun2DWYJ04	Fun2DWYJ05	Fun2DWYJ06	Fun2DWYJ07	Fun2DWYJ08	Fun2DWYJ09	Fun2DWYJ10	Fun2DWYJ11	Fun2DWYJ12	Fun2DWYJ13	Fun2DWYJ14	Fun2DWYJ15	Fun2WMH6301	Fun2WMH6302	Fun2WMH6303	Fun2WMH6304	Fun2WMH6305	Fun2WMH6306	Fun2WMH6307	Fun2WMH6308	Fun2WMH6309	Fun2WMH6310	Fun2WMH6311	Fun2WMH6312	Fun2WMH63ZH01	Fun2WMH63ZH02	Fun2WMH63ZH03	Fun2WMH63ZH04	Fun2WMH63ZH05	Fun2WMH63ZH06	Fun2WMH63ZH07	Fun2WMH63ZH08	Fun2WMH63ZH09	Fun2WMH63ZH10	Fun2WMH63ZH11	Fun2WMH63ZH12	Fun2WMH63ZH13	Fun2WMH63ZH14	Fun2WMH63ZH15	Fun2WWYJ01	Fun2WWYJ02	Fun2WWYJ03	Fun2WWYJ04	Fun2WWYJ05	Fun2WWYJ06	Fun2WWYJ07	Fun2WWYJ08	Fun2WWYJ09	Fun2WWYJ10	Fun2WWYJ11	Fun2WWYJ12	Fun2WWYJ13	Fun2WWYJ14	Fun2WWYJ15	FunDMH6301	FunDMH6302	FunDMH6303	FunDMH6304	FunDMH6305	FunDMH6306	FunDMH6307	FunDMH6308	FunDMH6309	FunDMH6310	FunDMH6311	FunDMH6312	FunDMH6313	FunDMH6314	FunDMH6315	FunDMH63ZH01	FunDMH63ZH02	FunDMH63ZH03	FunDMH63ZH04	FunDMH63ZH05	FunDMH63ZH06	FunDMH63ZH07	FunDMH63ZH08	FunDMH63ZH09	FunDMH63ZH10	FunDMH63ZH11	FunDMH63ZH12	FunDMH63ZH13	FunDMH63ZH14	FunDMH63ZH15	FunDWYJ01	FunDWYJ02	FunDWYJ03	FunDWYJ04	FunDWYJ05	FunDWYJ06	FunDWYJ07	FunDWYJ08	FunDWYJ09	FunDWYJ10	FunDWYJ11	FunDWYJ12	FunDWYJ13	FunDWYJ14	FunDWYJ15	FunWMH6301	FunWMH6302	FunWMH6303	FunWMH6304	FunWMH6305	FunWMH6306	FunWMH6307	FunWMH6308	FunWMH6309	FunWMH6310	FunWMH6311	FunWMH6312	FunWMH6313	FunWMH6314	FunWMH6315	FunWMH63ZH01	FunWMH63ZH02	FunWMH63ZH03	FunWMH63ZH04	FunWMH63ZH05	FunWMH63ZH06	FunWMH63ZH07	FunWMH63ZH08	FunWMH63ZH09	FunWMH63ZH10	FunWMH63ZH11	FunWMH63ZH12	FunWMH63ZH13	FunWMH63ZH14	FunWMH63ZH15	FunWWYJ01	FunWWYJ02	FunWWYJ03	FunWWYJ04	FunWWYJ05	FunWWYJ06	FunWWYJ07	FunWWYJ08	FunWWYJ09	FunWWYJ10	FunWWYJ11	FunWWYJ12	FunWWYJ13	FunWWYJ14	FunWWYJ15	All
Cantharellales	1.75	0.55	0.02	0.283	0.0101	0.141	1.58	0.0702	0.111	0.131	0.0404	0.192	0.102	0.131	0.262	0.0506	0.0707	0.202	7.28	0.594	0.0403	0.371	5.71	1.98	0.98	0.443	0.101	0	3.24	0.0101	0.251	0.0303	0.13	0.313	0.955	0.13	0.162	0.311	0.0404	0.192	0.24	0.434	2.29	2.1	10.7	0.394	0.363	8.31	1.78	0.0301	0.253	0.0203	0.0912	0.312	0.18	0.0911	0.111	0.0201	0.374	0.0504	0.0202	0.0303	0.121	1.2	0.617	0.0403	0.0707	0.101	4.73	0.0902	0.111	0.2	0.0804	0.131	0.161	0.0706	0.0504	0.172	0.14	0.0604	0.151	0.0902	0.301	0.171	15.4	0	0.0101	0.101	0.869	0.111	0.0604	0.221	0.131	0.182	0.141	0.0101	0.282	0	0.0403	0.0302	0.777	0.0606	0	0.0302	0.203	0.121	0.0101	0.0805	0.0101	0.0101	0.0201	0.0101	0.0406	0.0201	0.0302	0	0.0706	0.251	0.01	6.05	0.443	0.171	0.141	0	0.373	0.08	0.0101	0.0202	0.602	0.181	0.0101	0.0403	0.0101	0.0405	0.111	0.0203	0.203	0.0404	0.0303	0.0101	6.06	0.212	0	0.0203	0.01	0.0101	0	0.0202	0.151	0	0.0101	0.131	0.0102	0.0709	0.0201	0	13.6	0.0101	0.0203	0	0.0903	0	0	0.0101	0	0	0	0	0.0101	0.01	0.0101	0.0911	0.0303	0	0.5
Capnodiales	0.0602	0	0.05	0.111	0.0101	0.0706	0.0809	0.1	0.101	0.0403	0.0303	0.0403	0.0102	0.0202	0.0908	0.0101	0	0.0101	0	0.0101	0.0101	0.01	0.0704	0.0506	0.0101	0.0403	0.0101	0.0503	0	0.0101	0.0201	0	0	0.0101	0.0201	0	0	0.0602	0.0506	0.0101	0.01	0.0101	0.0808	0.0202	0.0101	0	0	0	0	0.01	0.212	0.0304	0	0.0605	0	0.0202	0.0303	0.0401	0.0708	0.111	0	0.0506	0.0101	0.0605	0.0405	0.0101	0.0202	0.0101	0.0101	0.01	0	0	0	0	0	0	0.0101	0	0.13	0	0.0201	0	0.0402	0	0	0	0	0	0	0	0.0101	0.0101	0	0.0404	0	0	0.0101	0	0	0	0.0202	0	0.0101	0.0101	0.0506	0	0.0101	0.0402	0	0.0101	0	0	0.0203	0.0302	0.0101	0.01	0	0	0	0	0	0	0	0	0.0101	0	0.0302	0.0302	0	0	0	0.0101	0	0.0101	0	0.0506	0.0102	0	0.0403	0	0	0.0101	0.0101	0	0.0402	0.0101	0.0101	0.0101	0.0101	0.0202	0.0101	0.0101	0.0203	0.0203	0	0.0202	0.0101	0.0202	0.0101	0.00999	0	0	0	0.0101	0.0101	0	0.0101	0	0	0.01	0	0	0.0101	0	0.4
Xylonomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.4
Helotiales	0.301	0.61	0.5	0.707	0.233	2.03	0.951	1.48	0.896	0.676	1.27	0.585	0.183	2.95	0.272	0.355	0.424	0.0908	0.445	0.191	0.655	0.0702	0.452	0.313	0.192	0.907	0.485	0.131	0.311	0.232	0.11	0.202	0.341	0.313	0.412	0.621	0.486	0.472	0.152	0.202	0.36	0.404	0.111	0.837	0.212	0.293	0.171	0.354	0.422	0.11	0.131	0.365	1.1	0.575	0.339	0.526	0.798	0.401	0.475	0.222	0.293	0.495	0.303	1.72	0.172	0.202	0.323	1.28	0.393	0.15	0.151	0.12	0.151	0.171	0.151	0.111	0.343	0.101	0.211	0.0907	0.302	0.13	0.412	0.502	0	0	0	0	0.0505	0	0	0	0.0101	0	0.0101	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.0101	0.0101	0.0302	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.0202	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0	0	0.0102	0	0.101	0	0	0	0	0	0.01	0	0	0	0	0	0.0203	0	0.0102	0	0	0	0	0	0	0.00999	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0.4
Boletales	0.01	0	0	0	0	0.0101	0.0101	0	0.0201	0.0101	0.0202	0	0	0	0	0	0	0	0	0.0101	0	0.01	0.0101	0	0	0	0.0101	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.0101	0	0.0506	0	0	0	0	0	0	0.02	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.0101	0	0.0101	0	0.01	0.0101	0.0101	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0.0203	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.3
Gigasporales	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.0101	0	0	0.0101	0.0101	0.0101	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0	0.01	0	0	0	0.0101	0.00998	0	0.0101	0.01	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.0101	0	0.0101	0	0.0706	0	0.111	0	0	0.0504	0.0101	0	0.0202	0	0	0.0101	0	0	0.0101	0	0.0101	0.0101	0	0	0.0302	0.0201	0	0	0.0101	0.0101	0.02	0.0303	0	0	0.03	0	0	0.0101	0	0.0504	0.09	0	0.0403	0.0501	0	0	0	0	0	0.0101	0	0	0	0.0101	0.0101	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Xylariales	0	0.01	0.01	1.14	0.0101	0.0101	0.395	0	0.0101	0.0303	0	0.0101	0	0	0	0	0	0	0	0	0	0.0201	0	0	0	0.0101	0	0.0101	0.01	0	0	0.0101	0	0.111	0	0	0	0	0	0	0	0	0	0	0.0101	0	0.0101	0	0	0	0	0	0	0	0.00998	0	0	0	0	0.161	0	0	0	0.0908	0	0	0	0	0	0	0.0101	0	0	0	0.0201	0.0101	0	0.0101	0.01	0	0	0.01	0	0	0.0601	0.0404	0.121	0	0.0505	0.0101	0.0705	0.0302	0.0202	0.0909	0.0403	0.0202	0.0201	0.0505	0.0605	0.0101	0.0504	0	0	0.0302	0	0.0606	0	0	0.0101	0.0101	0.0101	0.0101	0.0305	0	0.0202	0.01	0	0.0201	0	0.01	0	0	0.0101	0	0.0101	0.03	0	0.0101	0.0401	0	0	0.0605	0.0101	0.162	0.0504	0	0	0	0.0303	0	0	0	0	0.0101	0.0201	0	0	0	0	0	0	0	0	0	0	0.0202	0.0101	0.0101	0	0.00999	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.3
Glomerales	0	0	0	0	0.0608	0.0101	0.0101	0.01	0.0302	0	0.0101	0.0101	0.0102	0	0	0	0	0	0.0101	0.0101	0.0201	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.01	0	0	0.02	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0.00998	0	0.0202	0	0	0	0.0101	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0.0101	0	0	0.01	0	0	0.0505	0	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0	0	0.0101	0	0	0.0101	0	0	0	0.0101	0	0.0101	0	0	0	0	0.0202	0	0	0	0	0	0	0	0.0101	0.02	0.0101	0	0.01	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.0101	0	0.3
Ustilaginales	0.0903	0.09	0.15	0.444	0.213	0.414	0.304	0.0903	0.322	0.121	0.0606	0.0403	0.142	0.0605	1.16	0.0304	0.0202	0.172	0.0809	0.0403	0.0403	0.0401	0.0905	0.0809	0.0505	0.0705	0.091	0.171	0.0701	0.0504	0.0903	0.141	0.0201	0.121	0.171	0.02	0.162	0.0702	0.192	1.55	0.0601	0.121	0.434	0.0202	0.0403	0.0505	0.0101	0.0303	0.0402	0.01	0.232	0.0507	0.0101	0.101	0.0399	0.212	0.192	0.0702	0.162	0.0404	0.0101	0.0303	0.0505	0.151	0.131	0.111	0.0404	0.0202	0.0101	0.0601	0.151	0.14	0.0201	0.01	0.0302	0.0101	0.0101	0.101	0.511	0.0101	0.0201	0.0301	0.1	0.0401	0.301	0.0707	0.223	0.141	0.111	0.111	0.373	0.221	0.263	0.212	0.454	0.121	0.111	0.0908	0.212	0.232	0.626	0.242	0.383	0.574	0.679	0.546	0.263	1.12	0.523	0.694	0.222	0.151	0.548	0.795	0.262	0.2	0.182	0.221	0.0201	0.1	0.141	0.272	0.0606	0.211	0.212	0.36	0.221	0.695	0.181	0.171	0.152	0.454	0.0912	0.243	0.131	0.385	0.365	0.0505	0.182	0.121	0.404	0.677	0.505	0.679	1.09	0.141	0.424	0.393	1.23	0.505	1.51	0.616	0.681	0.446	0.201	0.546	0.687	0.313	0.507	0.15	0.0401	0.111	0.252	0.0604	0.0806	0.121	0.0809	0.0406	0.0607	0.23	0.0704	0.334	0.151	0.172	0.3
Venturiales	0	0	0	0.0404	0	0	0	0	0.0201	0.0504	0	0	0.0102	0.0101	0.0404	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0.0101	0	0	0.0202	0	0.0101	0	0	0.162	0.0606	0.302	0	0.0101	0	0	0	0.01	0.162	0.0608	0.0811	0.0101	0	0.0101	0	0.01	0	0	0	0.0202	0	0	0	0.0101	0.0606	0	0	0	0	0	0	0	0.0101	0	0	0	0.01	0	0.0101	0	0.01	0	0	0	0	0.0101	0	0.0202	0.0403	0.0101	0	0	0.0202	0	0.0101	0	0	0.0302	0.585	0	0.0101	0	0	0.0202	0.0101	3.3	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0.0202	0.0201	0.121	0.0101	0.0101	0	0	0	0.0101	0.0102	0.0202	0.0807	0	0	0.0202	0.323	0.0507	0	0.111	0.0101	0.0202	0	0	0	0	0.0203	0	0	0	0.0101	0	0	0.00999	0.01	0	0	0	0	0	0	0	0	0.01	0.161	0.0101	0	0.0101	0.3
Diaporthales	0.01	0	0	0.0606	0	0.0101	0	0	0	0.0101	0.0101	0.0101	0	0	0	0	0	0.0101	0.0101	0.0101	0	0	0	0	0.0101	0	0.0101	0.0101	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0.0101	0	0	0	0	0	0	0.0101	0.0101	0	0	0.0908	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.0101	0	0	0.0201	0.0101	0	0	0	0	0.0101	0	0	0	0.0101	0	0	0	0	0	0	0.0201	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0.0101	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0.0202	0.3
Sebacinales	0.11	1.52	0.05	0.0909	0	0.182	0.425	0.451	0.0906	0.292	1.69	0.151	0.458	1.2	0.172	0.132	0.0101	0.0101	0.0202	0.0101	0.161	0.0401	0.111	0.091	0.485	0.0201	0.0202	0.222	0.341	0.151	0.582	0.182	0.0703	0.111	0.402	0.12	1.02	0.431	0.111	0.0706	0.541	0.323	0.0808	0.0806	0.212	0.121	0.313	0.0506	0.0905	0.0201	0.0505	0.0608	1.07	0.101	0.0499	0.496	0.606	0.361	0.263	0.363	0.101	0.101	0.0909	1.84	0.101	0.101	1.17	11.3	0.111	0.13	0.383	0.17	0.181	0.181	0.0704	0.151	0.151	0.131	0.0702	0.0705	0.161	0.12	0.181	0.0702	0	0	0.0405	0	0	0.242	11.1	0.111	0	0	0.0202	3.54	8.62	0.0808	0.0101	0.0706	0.0504	0.0707	0.172	0.0101	0	0.0707	2.71	0.563	0	0.0604	0.252	0	0.162	0.332	0.0202	0.701	0	0	2.94	0.01	0.121	0	0.0101	0.0704	0	0.01	0.0101	0.0101	0.682	0.0201	0.0101	0.0302	0.0101	0.0101	0.0101	0	0.0305	0.0101	0.0504	8.22	0.0101	0.0808	0.0606	3.53	0.0201	1.48	0.0504	0.0403	8.1	0.0202	0	0.111	0.366	0.517	0.0201	0.0101	0	0	0.0101	0.05	0	0.0202	0	0.0504	0.0101	0.121	0.0101	0.0406	2.07	0.49	0.0302	0.0203	1.09	0.0101	0.2
Mucorales	0.0401	0	0.01	0.0101	0	0.0101	0.0607	0.0501	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.0101	0.0101	0	0	0	0.0302	0.0101	0.0101	0	0	0	0.0101	0	0	0.0201	0	0	0	0	0.0101	0	0	0	0	0.0101	0.0101	0	0	0	0	0.01	0	0	0.0101	0	0	0.01	0	0.0101	0.0201	0	0.0101	0.0101	0	0	0	0	0	0	0	0.0101	0	0.0101	0	0.0507	0.0502	0	0	0	0.705	0.0202	0	0	0.0203	0	0	0.0101	0	0	0.0203	0	0.0201	0.0202	0	0	0	0	0.0202	0	0	0.01	0	0	0	0	0.2
Polyporales	0	0	0	0	0	0	0	0.01	0	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0.0101	0	0	0	0.0102	0	0	0	0	0.0303	0	0.0203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0.0401	0	0	0	0	0	0	0.0102	0.0101	0	0	0	0	0	0.2
Thelephorales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.02	0	0.0101	0	0.0101	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Branch06	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.0302	0.0101	0	0.0604	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0.0101	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.0701	0.101	0.263	0.423	0.0505	0.0504	0.222	0.0906	0.516	0.0606	0.0101	0.262	0.0604	0.384	0.0504	0.161	0.131	0.162	0.303	0.171	0.132	0.111	0.192	0.0101	0.111	0.302	0.262	0.0403	0.132	0.0503	0.877	0.23	0.636	0.642	0.0703	0.25	0.232	0.252	0.272	0.231	0.686	0.26	0.282	0.202	0.632	10.8	0.303	0.918	0.983	0.698	0.907	2.15	0.619	0.101	1.87	0.779	1.31	0.0707	0.101	0.112	0.734	25.2	0.847	4.38	0.644	7.56	1.69	22.8	0.417	0.77	0.241	0.688	0.424	1.01	0.588	0.38	0.792	0.222	0.876	0.413	1.23	0.432	0.627	1.47	0.455	3.86	0.593	1.01	0.303	0.879	0.2
Hymenochaetales	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Sporidiobolales	0	0.01	0.03	0.0303	0	0.0504	0.0405	0.01	0.0201	0	0	0.0101	0	0	0.0101	0	0	0	0	0	0.0101	0	0.0101	0	0	0	0	0.0302	0	0	0.01	0	0.01	0.0101	0.0101	0	0	0	0	0	0.01	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0401	0	0.0101	0	0.0303	0	0.0101	0.0101	0	0	0	0	0	0	0.0202	0.0101	0.0202	0.0202	0.0101	0.0201	0	0.0101	0	0	0.0101	0.0402	0.0201	0	0	0	0.0202	0.01	0.0202	0.0201	0	0.02	0	0	0	0	0.0202	0.01	0.0503	0	0.01	0.0101	0	0.0302	0	0.0202	0	0.0304	0.0203	0	0.0202	0	0	0.0101	0.0101	0.0406	0.01	0.0101	0.0101	0.0202	0.0302	0.0707	0.0203	0.0202	0	0	0.0101	0.0101	0.0303	0.0202	0.0101	0	0.01	0	0.0201	0	0	0.0101	0	0	0	0.01	0	0.0101	0.0101	0.0202	0.2
Mortierellales	0.01	0	0	0.0202	0	0	0.0101	0	0	0	0	0.0605	0	0	0	0	0	0	0	0.0101	0	0.01	0	0	0.0505	0	0	0.0101	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0	0	0	0	0	0	0	0.0303	0	0	0.0101	0	0.0202	0.0405	0	0.0101	0	0	0	0	0	0	0	0.0201	0	0	0	0	0	0	0	0	0	0.02	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0.0404	0	0	0	0.0101	0	0.0403	0.0101	0.0101	0	0	0	0.0101	0.0101	0	0	0.0101	0.0202	0.01	0.0101	0	0	0.0701	0	0	0	0	0.0101	0.02	0.0201	0	0.01	0	0	0	0	0	0	0.0709	0.0102	0	0	0	0	0.0202	0	0.0101	0	0	0	0	0	0	0	0.0101	0	0	0	0.0101	0	0.0506	0	0.00999	0.01	0.0101	0.0201	0	0.0202	0	0	0	0	0.01	0	0	0	0	0.2
Orbiliales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0604	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0.0101	0	0	0.0203	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141	0.01	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0.0203	0	0	0.0405	0	0.0505	0.0202	0	0.0101	1.75	0	0.0101	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.1
Lecanorales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.01	0.0202	0	0.0201	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0.0101	0	0	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0	0.0101	0	0	0	0.0101	0	0	0	0	0	0.0102	0.0101	0	0	0	0.0101	0.0101	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0.1
Glomerellales	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.0204	0	0.0202	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0.0403	0.0301	0	0	0.0905	0	0	0	0	0	0	0	0	0	0	0	0.344	0	0.0101	0	0.0101	0.0101	0	0.0101	0.0101	0.0101	0	0	0.0302	0	0.0404	0	0	0	0	0	0	0	0.0101	0	0	0	0.0203	0	0	0	0	0.01	0	0	0	0	0	0.0101	0.0101	0	0	0	0.01	0	0	0.0101	0	0	0.0101	0	0	0	0.0504	0	0	0.0606	0.0101	0.0304	0	0	0	0	0.0101	0	0	0	0	0.0101	0	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.0303	0	0.0101	0	0	0	0.1
Magnaporthales	11.9	0.25	0.12	0.121	0.557	1.35	2.92	0.481	3.06	0.333	2.36	0.0302	0.0102	1.92	0.878	0.213	0.0404	0.0101	0.142	0.795	0.131	0.0602	0.211	0.0708	0.677	0.101	0	0.775	0.351	0.111	0.231	0.0908	0.0301	0.202	0.101	0.271	0.0607	0.431	0.0607	0.0101	0.631	0.141	0.0101	0.0302	0.0101	0.0303	0.0202	0.0101	0.0302	0.0201	0.0505	0.0304	0.0203	0.0202	0	0	0	0	0	0.0101	0	0.0506	0.0202	0	0	0	0.0101	0.0101	0.0202	0.01	0.161	0	0.01	0.0301	0	0.0101	0	0.0101	0.0401	0	0.111	0.01	0	0	0.461	1.33	0.678	0.534	0.0707	1.05	0.343	1.25	0.758	0.454	0.403	0.151	0.0907	0.262	0.494	0.0907	0.283	0.212	0.0908	0.473	0.527	0.212	0.0404	0.0402	0.0805	0.0503	0.312	0.121	0.386	0.0704	0.595	0.501	0.898	1.17	0.121	0.561	0.131	0.403	1.38	0.141	0.807	0.55	0.745	0.705	1.26	0.151	0.0303	0.0302	0.719	0.567	0.191	0.0709	0.132	0.0303	0.0807	0.0506	2.76	0.606	0.202	0.203	0.392	0.0807	0.161	0.0101	0.393	0.172	0.324	0.161	0.0203	0	0.0603	0.486	0.162	0.253	0.0608	0.16	0.612	0.0403	0.0403	0.0403	0.756	0.0603	0.091	1.1	0.0607	0.42	0.312	0.78	0.0606	0.0707	0.1
