OTU_19	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Massarina
OTU_151	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae
OTU_177	k__Fungi
OTU_178	k__Fungi
OTU_162	k__Fungi
OTU_164	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_176	k__Fungi
OTU_169	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
OTU_179	k__Fungi;p__Ascomycota
OTU_165	k__Fungi
OTU_181	k__Fungi
OTU_170	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
OTU_193	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Barnettozyma
OTU_167	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae
OTU_198	k__Fungi
OTU_172	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Myrothecium;s__Myrothecium_verrucaria_SH175286.07FU
OTU_201	k__Fungi
OTU_200	k__Fungi;p__Ascomycota
OTU_174	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tetraplosphaeriaceae
OTU_187	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Stachybotrys
OTU_189	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_175	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma
OTU_180	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Arnium
OTU_218	k__Fungi
OTU_186	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Paraconiothyrium
OTU_194	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Nakataea;s__Nakataea_oryzae_SH174133.07FU
OTU_192	k__Fungi
OTU_207	k__Fungi;p__Ascomycota
OTU_190	k__Fungi
OTU_222	k__Fungi
OTU_188	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;g__Athelia;s__Athelia_rolfsii_SH003119.07FU
OTU_185	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
OTU_199	k__Fungi
OTU_221	k__Fungi;p__Ascomycota
OTU_195	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae
OTU_209	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium
OTU_204	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_205	k__Fungi
OTU_214	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Branch06
OTU_227	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Moesziomyces;s__Moesziomyces_aphidis_SH209530.07FU
OTU_213	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;g__Athelia;s__Athelia_rolfsii_SH003119.07FU
OTU_233	k__Fungi
OTU_237	k__Fungi
OTU_231	k__Fungi
OTU_223	k__Fungi;p__Rozellomycota
OTU_249	k__Fungi
OTU_212	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Edenia;s__Edenia_gomezpompae_SH188231.07FU
OTU_210	k__Fungi
OTU_219	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_252	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Caliciales;f__Physciaceae;g__Anaptychia;s__Anaptychia_palmulata_SH192908.07FU
OTU_230	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_242	k__Fungi
OTU_246	k__Fungi
OTU_220	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Edenia;s__Edenia_gomezpompae_SH188231.07FU
OTU_224	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Myrothecium;s__Myrothecium_gramineum_SH175282.07FU
OTU_261	k__Fungi
OTU_256	k__Fungi;p__Chytridiomycota
OTU_245	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
OTU_247	k__Fungi;p__Ascomycota
OTU_259	k__Fungi
OTU_229	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Tremellodendropsidales
OTU_267	k__Fungi
OTU_236	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae
OTU_273	k__Fungi
OTU_244	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Mrakia;s__Mrakia_frigida_SH202458.07FU
OTU_269	k__Fungi;p__Ascomycota
OTU_260	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Paraphaeosphaeria;s__Paraphaeosphaeria_arecacearum_SH186940.07FU
OTU_288	k__Fungi;p__Ascomycota
OTU_262	k__Fungi
OTU_251	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Edenia;s__Edenia_gomezpompae_SH188231.07FU
OTU_286	k__Fungi;p__Ascomycota
OTU_265	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_290	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_299	k__Fungi;p__Basidiomycota
OTU_268	k__Fungi;p__Rozellomycota
OTU_306	k__Fungi
OTU_298	k__Fungi
OTU_287	k__Fungi;p__Ascomycota
OTU_283	k__Fungi
OTU_277	k__Fungi
OTU_272	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_279	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Scolecobasidium;s__Scolecobasidium_terreum_SH207895.07FU
OTU_284	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
OTU_276	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae
OTU_289	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_302	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_278	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Chaetomellaceae;g__Chaetomella;s__Chaetomella_raphigera_SH182031.07FU
OTU_285	k__Fungi
OTU_300	k__Fungi
OTU_309	k__Fungi;p__Ascomycota
OTU_315	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_317	k__Fungi;p__Ascomycota
OTU_294	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Westerdykella;s__Westerdykella_angulata_SH184205.07FU
OTU_281	k__Fungi
OTU_318	k__Fungi
OTU_296	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae
OTU_314	k__Fungi
OTU_303	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae
OTU_327	k__Fungi
OTU_305	k__Fungi;p__Basidiomycota
OTU_307	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_324	k__Fungi;p__Ascomycota
OTU_325	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae
OTU_321	k__Fungi
OTU_320	k__Fungi
OTU_310	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia
OTU_331	k__Fungi
OTU_311	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_322	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tetraplosphaeriaceae
OTU_313	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_338	k__Fungi
OTU_328	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_353	k__Fungi
OTU_342	k__Fungi;p__Rozellomycota
OTU_354	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_363	k__Fungi
OTU_326	k__Fungi
OTU_356	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_352	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_361	k__Fungi;p__Ascomycota
OTU_333	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_369	k__Fungi;p__Ascomycota
OTU_329	k__Fungi
OTU_373	k__Fungi;p__Ascomycota
OTU_334	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_360	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae
OTU_355	k__Fungi;p__Chytridiomycota
OTU_344	k__Fungi
OTU_378	k__Fungi;p__Ascomycota
OTU_383	k__Fungi
OTU_346	k__Fungi
OTU_386	k__Fungi
OTU_340	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae
OTU_358	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_384	k__Fungi;p__Ascomycota
OTU_357	k__Fungi
OTU_385	k__Fungi;p__Ascomycota
OTU_376	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Cercospora;s__Cercospora_coniogrammes_SH278817.07FU
OTU_359	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae
OTU_374	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Cyphellophoraceae;g__Cyphellophora
OTU_395	k__Fungi
OTU_370	k__Fungi
OTU_398	k__Fungi;p__Ascomycota
OTU_382	k__Fungi
OTU_399	k__Fungi
OTU_397	k__Fungi
OTU_390	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Arnium
OTU_400	k__Fungi
OTU_381	k__Fungi
OTU_389	k__Fungi
OTU_406	k__Fungi;p__Ascomycota
OTU_375	k__Fungi
OTU_404	k__Fungi
OTU_412	k__Fungi
OTU_402	k__Fungi;p__Ascomycota
OTU_410	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
OTU_391	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_425	k__Fungi
OTU_408	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_416	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_428	k__Fungi
OTU_401	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae
OTU_432	k__Fungi
OTU_403	k__Fungi;p__Ascomycota
OTU_433	k__Fungi;p__Ascomycota
OTU_396	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
OTU_440	k__Fungi;p__Ascomycota
OTU_434	k__Fungi
OTU_414	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Sarocladium;s__Sarocladium_oryzae_SH210206.07FU
OTU_417	k__Fungi;p__Ascomycota
OTU_439	k__Fungi;p__Basidiomycota
OTU_407	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_427	k__Fungi
OTU_443	k__Fungi
OTU_450	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_442	k__Fungi
OTU_449	k__Fungi
OTU_457	k__Fungi
OTU_419	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Cyphellophoraceae;g__Cyphellophora;s__Cyphellophora_oxyspora_SH213230.07FU
OTU_446	k__Fungi
OTU_422	k__Fungi;p__Ascomycota
OTU_460	k__Fungi
OTU_463	k__Fungi
OTU_444	k__Fungi;p__Ascomycota
OTU_424	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_sinensis_SH180504.07FU
OTU_430	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_intermedia_SH024156.07FU
OTU_423	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_siamensis_SH180506.07FU
OTU_468	k__Fungi;p__Ascomycota
OTU_466	k__Fungi;p__Ascomycota
OTU_470	k__Fungi
OTU_447	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_435	k__Fungi
OTU_458	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_474	k__Fungi
OTU_462	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_terreus_SH194083.07FU
OTU_461	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium
OTU_485	k__Fungi;p__Ascomycota
OTU_479	k__Fungi
OTU_498	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_472	k__Fungi
OTU_465	k__Fungi
OTU_488	k__Fungi;p__Ascomycota
OTU_489	k__Fungi
OTU_490	k__Fungi;p__Ascomycota
OTU_476	k__Fungi
OTU_500	k__Fungi
OTU_467	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae;g__Serendipita;s__Serendipita_indica_SH197074.07FU
OTU_480	k__Fungi
OTU_492	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Scolecobasidium;s__Scolecobasidium_constrictum_SH218244.07FU
OTU_494	k__Fungi;p__Basidiomycota
OTU_495	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae
OTU_473	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Poaceascoma;s__Poaceascoma_helicoides_SH211391.07FU
OTU_501	k__Fungi;p__Ascomycota
OTU_512	k__Fungi;p__Ascomycota
OTU_478	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_486	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_471	k__Fungi
OTU_506	k__Fungi
OTU_493	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Paraconiothyrium
OTU_513	k__Fungi
OTU_484	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
OTU_499	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_511	k__Fungi
OTU_520	k__Fungi
OTU_533	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae
OTU_503	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tetraplosphaeriaceae
OTU_532	k__Fungi
OTU_519	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Branch06
OTU_502	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Conlarium
OTU_515	k__Fungi
OTU_530	k__Fungi
OTU_531	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_528	k__Fungi
OTU_534	k__Fungi;p__Ascomycota
OTU_522	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma
OTU_507	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Valsonectria;s__Valsonectria_pulchella_SH205600.07FU
OTU_535	k__Fungi
OTU_509	k__Fungi
OTU_529	k__Fungi
OTU_541	k__Fungi;p__Ascomycota
OTU_518	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_536	k__Fungi;p__Ascomycota
OTU_508	k__Fungi
OTU_539	k__Fungi;p__Ascomycota
OTU_523	k__Fungi
OTU_524	k__Fungi
OTU_544	k__Fungi
OTU_547	k__Fungi
OTU_545	k__Fungi
OTU_548	k__Fungi;p__Ascomycota
OTU_538	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales
OTU_526	k__Fungi;p__Basidiomycota
OTU_553	k__Fungi;p__Ascomycota
OTU_537	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
OTU_552	k__Fungi
OTU_558	k__Fungi
OTU_562	k__Fungi;p__Ascomycota
OTU_573	k__Fungi
OTU_576	k__Fungi
OTU_543	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Sarocladium
OTU_567	k__Fungi
OTU_540	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Arnium
OTU_560	k__Fungi
OTU_568	k__Fungi
OTU_555	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_583	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellaceae;g__Cantharellus
OTU_586	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Teloschistaceae;g__Caloplaca
OTU_557	k__Fungi;p__Ascomycota
OTU_579	k__Fungi;p__Ascomycota
OTU_551	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae
OTU_588	k__Fungi
OTU_590	k__Fungi
OTU_585	k__Fungi;p__Ascomycota
OTU_572	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_593	k__Fungi;p__Ascomycota
OTU_563	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae
OTU_595	k__Fungi
OTU_571	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_implicatum_SH210205.07FU
OTU_569	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae
OTU_565	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_587	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_601	k__Fungi;p__Ascomycota
OTU_604	k__Fungi
OTU_606	k__Fungi
OTU_609	k__Fungi
OTU_602	k__Fungi
OTU_598	k__Fungi
OTU_577	k__Fungi
OTU_589	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
OTU_607	k__Fungi
OTU_594	k__Fungi;p__Rozellomycota
OTU_611	k__Fungi
OTU_584	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_599	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
OTU_592	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;g__Athelia;s__Athelia_rolfsii_SH003119.07FU
OTU_612	k__Fungi
OTU_615	k__Fungi
OTU_626	k__Fungi;p__Basidiomycota
OTU_597	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_616	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_605	k__Fungi;p__Chytridiomycota
OTU_596	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina;s__Macrophomina_phaseolina_SH182425.07FU
OTU_613	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces;s__Talaromyces_purpureogenus_SH209381.07FU
OTU_630	k__Fungi
OTU_629	k__Fungi;p__Ascomycota
OTU_632	k__Fungi;p__Ascomycota
OTU_636	k__Fungi
OTU_638	k__Fungi
OTU_617	k__Unassigned
OTU_619	k__Fungi
OTU_634	k__Fungi
OTU_621	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Scolecobasidium
OTU_624	k__Fungi
OTU_652	k__Fungi
OTU_614	k__Fungi;p__Basidiomycota;c__Microbotryomycetes
OTU_645	k__Fungi
OTU_657	k__Fungi;p__Ascomycota
