Family	Fun2DMH6301	Fun2DMH6302	Fun2DMH6303	Fun2DMH6304	Fun2DMH6305	Fun2DMH6306	Fun2DMH6307	Fun2DMH6308	Fun2DMH6309	Fun2DMH6310	Fun2DMH6311	Fun2DMH6312	Fun2DMH63ZH01	Fun2DMH63ZH02	Fun2DMH63ZH03	Fun2DMH63ZH04	Fun2DMH63ZH05	Fun2DMH63ZH06	Fun2DMH63ZH07	Fun2DMH63ZH08	Fun2DMH63ZH09	Fun2DMH63ZH10	Fun2DMH63ZH11	Fun2DMH63ZH12	Fun2DMH63ZH13	Fun2DMH63ZH14	Fun2DMH63ZH15	Fun2DWYJ01	Fun2DWYJ02	Fun2DWYJ03	Fun2DWYJ04	Fun2DWYJ05	Fun2DWYJ06	Fun2DWYJ07	Fun2DWYJ08	Fun2DWYJ09	Fun2DWYJ10	Fun2DWYJ11	Fun2DWYJ12	Fun2DWYJ13	Fun2DWYJ14	Fun2DWYJ15	Fun2WMH6301	Fun2WMH6302	Fun2WMH6303	Fun2WMH6304	Fun2WMH6305	Fun2WMH6306	Fun2WMH6307	Fun2WMH6308	Fun2WMH6309	Fun2WMH6310	Fun2WMH6311	Fun2WMH6312	Fun2WMH63ZH01	Fun2WMH63ZH02	Fun2WMH63ZH03	Fun2WMH63ZH04	Fun2WMH63ZH05	Fun2WMH63ZH06	Fun2WMH63ZH07	Fun2WMH63ZH08	Fun2WMH63ZH09	Fun2WMH63ZH10	Fun2WMH63ZH11	Fun2WMH63ZH12	Fun2WMH63ZH13	Fun2WMH63ZH14	Fun2WMH63ZH15	Fun2WWYJ01	Fun2WWYJ02	Fun2WWYJ03	Fun2WWYJ04	Fun2WWYJ05	Fun2WWYJ06	Fun2WWYJ07	Fun2WWYJ08	Fun2WWYJ09	Fun2WWYJ10	Fun2WWYJ11	Fun2WWYJ12	Fun2WWYJ13	Fun2WWYJ14	Fun2WWYJ15	FunDMH6301	FunDMH6302	FunDMH6303	FunDMH6304	FunDMH6305	FunDMH6306	FunDMH6307	FunDMH6308	FunDMH6309	FunDMH6310	FunDMH6311	FunDMH6312	FunDMH6313	FunDMH6314	FunDMH6315	FunDMH63ZH01	FunDMH63ZH02	FunDMH63ZH03	FunDMH63ZH04	FunDMH63ZH05	FunDMH63ZH06	FunDMH63ZH07	FunDMH63ZH08	FunDMH63ZH09	FunDMH63ZH10	FunDMH63ZH11	FunDMH63ZH12	FunDMH63ZH13	FunDMH63ZH14	FunDMH63ZH15	FunDWYJ01	FunDWYJ02	FunDWYJ03	FunDWYJ04	FunDWYJ05	FunDWYJ06	FunDWYJ07	FunDWYJ08	FunDWYJ09	FunDWYJ10	FunDWYJ11	FunDWYJ12	FunDWYJ13	FunDWYJ14	FunDWYJ15	FunWMH6301	FunWMH6302	FunWMH6303	FunWMH6304	FunWMH6305	FunWMH6306	FunWMH6307	FunWMH6308	FunWMH6309	FunWMH6310	FunWMH6311	FunWMH6312	FunWMH6313	FunWMH6314	FunWMH6315	FunWMH63ZH01	FunWMH63ZH02	FunWMH63ZH03	FunWMH63ZH04	FunWMH63ZH05	FunWMH63ZH06	FunWMH63ZH07	FunWMH63ZH08	FunWMH63ZH09	FunWMH63ZH10	FunWMH63ZH11	FunWMH63ZH12	FunWMH63ZH13	FunWMH63ZH14	FunWMH63ZH15	FunWWYJ01	FunWWYJ02	FunWWYJ03	FunWWYJ04	FunWWYJ05	FunWWYJ06	FunWWYJ07	FunWWYJ08	FunWWYJ09	FunWWYJ10	FunWWYJ11	FunWWYJ12	FunWWYJ13	FunWWYJ14	FunWWYJ15	All
Lasiosphaeriaceae	0	0	0.02	0.0101	0	0	0.0101	0	0.0101	0.0504	0.353	0.817	0	0	0	0	0	0	0	0.0805	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19	0	0.272	0.272	0.313	0.0202	0	0	0	0.202	0	0.233	0.0302	0.00998	0.0101	0.0606	0.0201	0.0404	0.131	0.0101	0	0.0202	0	1.43	0	0	0.0807	0.0101	0.16	0.161	0.0902	0.623	0.502	0	0.0605	0	0.0908	0.14	0.0302	0.0302	0.16	0.0603	0.0401	0.13	0.101	0.0506	0.312	0.0101	0.182	0.0806	0.171	0.0303	0.101	0.0302	0.111	0.151	3.51	0.0302	0.0403	0.0202	0.0101	0.0101	0.232	0.0405	0.0101	0.0101	0.0201	0.0101	0.0905	0	0	0.0102	0.0101	0.131	0.03	0.212	0.11	0.01	0.11	0.0302	0.181	0.525	0.161	0.151	0.05	0.0604	0.0504	0.582	0.0201	0.162	0.0302	0.0405	0.304	0	0.0203	0.0508	0	0.131	0.152	0.192	0.0505	0.0101	0	0.0201	0.0101	0	0	0.0403	0.353	0.0811	0.0202	0.254	0.0101	0.0905	0.0506	0.0808	0	0.0203	0.04	0.0602	0.101	0.0201	0.0201	0.0101	0.0201	0.0101	0.122	0.0202	0.02	0.0302	0.365	0.141	0.141	0.3
Ceratobasidiaceae	1.74	0.54	0.02	0.273	0	0.141	1.57	0.0501	0.111	0.131	0.0404	0.181	0.0916	0.131	0.252	0.0405	0.0404	0.202	7.26	0.594	0.0302	0.371	5.71	1.97	0.97	0.433	0.101	0	3.24	0.0101	0.251	0.0303	0.13	0.313	0.955	0.13	0.152	0.311	0.0404	0.192	0.24	0.434	2.28	2.07	10.7	0.394	0.363	8.31	1.77	0.01	0.232	0.0101	0.0811	0.302	0.17	0.0911	0.091	0.01	0.364	0.0504	0.0101	0.0202	0.121	1.19	0.607	0.0302	0.0606	0.0907	4.73	0.0902	0.111	0.2	0.0804	0.131	0.161	0.0706	0.0504	0.172	0.14	0.0604	0.151	0.0902	0.301	0.171	15.4	0	0	0.0906	0.869	0.101	0.0604	0.221	0.131	0.182	0.141	0.0101	0.272	0	0.0302	0.0202	0.777	0.0505	0	0.0302	0.192	0.101	0.0101	0.0805	0	0	0.0201	0.0101	0.0406	0.0101	0.0302	0	0.0706	0.251	0.01	6.05	0.443	0.171	0.141	0	0.373	0.08	0.0101	0.0202	0.602	0.171	0	0.0302	0	0.0304	0.0806	0	0.203	0.0303	0.0303	0.0101	6.05	0.212	0	0.0101	0	0.0101	0	0.0101	0.141	0	0	0.131	0.0102	0.0608	0.0101	0	13.6	0	0	0	0.0903	0	0	0.0101	0	0	0	0	0.0101	0.01	0.0101	0.0911	0.0303	0	0.3
Tremellaceae	0.01	0	0.01	0.0101	0	0.0303	0.0101	0.0201	0.0101	0	0.0101	0	0	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.0101	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0401	0	0	0	0.0703	0	0.01	0	0.0101	0	0	0.0101	0.0302	0.0402	0	0.0101	0.0202	0	0	0.0202	0.0302	0.0101	0.0605	0.0707	0.0202	0	0.0304	0.0303	0	0.0201	0.0201	0.0604	0.0201	0.0403	0.0102	0	0.0202	0	0	0.0201	0	0	0.0101	0	0	0	0	0.01	0.0201	0.0101	0	0.0805	0.0101	0.0101	0	0.0506	0	0.0304	0	0	0.0202	0	0.0202	0.0101	0.0303	0.0203	0.0201	0	0.0101	0	0.0101	0.0101	0.0507	0.0303	0.0102	0.0506	0	0	0.0505	0	0.0507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Glomeraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505	0	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0	0	0.0101	0	0	0.0101	0	0	0	0.0101	0	0.0101	0	0	0	0	0.0202	0	0	0	0	0	0	0	0.0101	0.02	0.0101	0	0.01	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.0101	0	0.2
Tetraplosphaeriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151	0	0	0	0.0506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0.0606	0.0304	0.0403	0.0303	0.0101	0.0806	0	0	0.162	0.0706	0.161	0.171	0.0101	0.151	0.0202	3.59	0.515	0.0504	0.0201	0.0405	0.0303	0.0505	0.181	0	0	0.0302	0.0101	0.0102	0.0503	0.0605	0	0.0202	0.0401	0	0.0401	0	0.212	0.121	0.0302	0	0.27	0.0403	0.0705	0.01	0.352	0.091	0	0	0.0202	0.0806	0	0.0102	0.0202	0.313	0.435	0.0202	0.0303	0.212	0.112	0.0201	0	0.0605	0.0908	0.0101	0.111	0.0507	0.0706	0.0407	0.0101	0.0201	0.233	0.0505	0.101	0.071	0.0799	0.0201	0	0	0	0.0403	0	0.526	0.0102	0.0202	0	0.432	0.0506	0	0	0.2
Sympoventuriaceae	0	0	0	0.0404	0	0	0	0	0.0201	0.0504	0	0	0.0102	0.0101	0.0404	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0.0101	0	0	0.0202	0	0.0101	0	0	0.162	0.0606	0.302	0	0.0101	0	0	0	0.01	0.162	0.0608	0.0811	0.0101	0	0.0101	0	0.01	0	0	0	0.0202	0	0	0	0.0101	0.0606	0	0	0	0	0	0	0	0.0101	0	0	0	0.01	0	0.0101	0	0.01	0	0	0	0	0.0101	0	0.0202	0.0403	0.0101	0	0	0.0202	0	0.0101	0	0	0.0302	0.585	0	0.0101	0	0	0.0202	0.0101	3.3	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0.0202	0.0201	0.121	0.0101	0.0101	0	0	0	0.0101	0.0102	0.0202	0.0807	0	0	0.0202	0.323	0.0507	0	0.111	0.0101	0.0202	0	0	0	0	0.0203	0	0	0	0.0101	0	0	0.00999	0.01	0	0	0	0	0	0	0	0	0.01	0.161	0.0101	0	0.0101	0.2
Mycosphaerellaceae	0.0401	0	0.02	0.0707	0.0101	0.0605	0	0	0.0705	0.0101	0.0202	0.0101	0	0.0202	0.0504	0.0101	0	0.0101	0	0.0101	0.0101	0	0.0503	0.0506	0.0101	0.0201	0.0101	0.0403	0	0.0101	0.0201	0	0	0.0101	0.0201	0	0	0	0.0506	0.0101	0.01	0.0101	0.0808	0.0202	0.0101	0	0	0	0	0	0.212	0.0203	0	0.0403	0	0.0101	0.0202	0.0401	0.0708	0.111	0	0	0.0101	0.0605	0.0202	0.0101	0.0101	0.0101	0.0101	0.01	0	0	0	0	0	0	0.0101	0	0.13	0	0.0201	0	0.0201	0	0	0	0	0	0	0	0	0.0101	0	0.0202	0	0	0	0	0	0	0.0101	0	0.0101	0.0101	0.0203	0	0	0.0101	0	0	0	0	0	0.0101	0.0101	0.01	0	0	0	0	0	0	0	0	0.0101	0	0.0101	0.0302	0	0	0	0.0101	0	0.0101	0	0.0506	0	0	0.0202	0	0	0	0.0101	0	0.0301	0.0101	0.0101	0.0101	0	0.0202	0.0101	0.0101	0.0102	0.0203	0	0.0202	0.0101	0.0202	0.0101	0.00999	0	0	0	0.0101	0.0101	0	0.0101	0	0	0	0	0	0.0101	0	0.2
Diaporthaceae	0	0	0	0.0606	0	0	0	0	0	0.0101	0.0101	0.0101	0	0	0	0	0	0.0101	0.0101	0	0	0	0	0	0.0101	0	0	0.0101	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0.0908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.0101	0	0	0.0201	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0.2
Psathyrellaceae	0	0	0	0.0202	0	0.0101	0	0	0	0	0	0	0	0.192	0	0	0	0	0.0405	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0.0703	0	0.0101	0.01	0	0	0	0	0	0.0101	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.0101	0	0.0101	0.0101	0.0201	0	0	0	0	0	0	0.01	0	0.01	0	0.0201	7.88	0	0.101	0	0	0	0.231	0	0	0	0	0	0	0.0203	0	0	0	0	0.242	0	0	0	0	0	0	17.8	0	0	0.0304	0	0.0508	0.314	0	1.55	0	0	0	0.02	0.321	0	0.0101	0.0101	0	0	0.182	0	0	0	0	0	0.0101	0	0.2
Boletaceae	0	0	0	0	0	0.0101	0.0101	0	0.0201	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.0506	0	0	0	0	0	0	0.00998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.0101	0	0.0101	0	0	0.0101	0.0101	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.2
Pezizaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Bulleribasidiaceae	0	0	0.01	0.0101	0	0.0706	0.0202	0	0	0.0403	0.0101	0	0	0.0101	0	0	0	0	0.0101	0.0101	0.0101	0	0	0	0	0	0	0.0201	0	0	0	0.0303	0	0.0101	0.0101	0	0.0101	0.01	0	0	0.01	0	0	0	0.0202	0	0.0101	0	0.0101	0	0	0.0203	0	0.0101	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0.0602	0	0	0	0	0	0.0401	0	0.0202	0	0.0303	0.0101	0.0403	0.0201	0.0101	0.0101	0	0.0101	0.0101	0.0202	0.0403	0	0.111	0.0909	0.0605	0.0403	0.081	0.0505	0.0202	0.0402	0.0302	0.211	0.0504	0.0302	0.0711	0.0503	0.0705	0.02	0	0.0201	0	0	0.0101	0	0	0.0101	0.0101	0.04	0.0403	0.0101	0.01	0.0201	0	0.0605	0	0.0405	0.0101	0.0405	0.0609	0	0.121	0.0607	0.0807	0.101	0.101	0.071	0.0804	0.0303	0.0202	0.0101	0.121	0.0707	0.132	0.0505	0.061	0.111	0.0201	0.0708	0.0707	0.0404	0.101	0.03	0.01	0.0202	0.0403	0	0	0	0	0	0	0.01	0	0.0101	0	0.0101	0.2
Phaeosphaeriaceae	0	0.01	0	0.0101	0	0.0101	0.0405	0.01	0.0403	0	0.0202	0.0101	0.0305	0	0	0	0.0303	0.0303	0.0202	0	0.0201	0	0.0201	0	0	0	0	0	0	0	0	0	0	0	0.0201	0	0	0	0.0202	0.0101	0	0	0.0101	0.0202	0.0101	0	0	0	0	0	2.34	0.0203	0.274	0	0	0.223	0.0101	0	0	0.0404	0	0.0506	0	0	0.0303	0	0.0101	0.0101	0	0	0.312	0.02	0.0301	0	0	0	0	0	0.17	0.0201	0	0	0	0.01	0.0401	0.0101	0.0709	0.362	0.657	0.0807	0.463	0.0704	0.0505	0.0606	0.111	0.0202	0.181	0.0303	0.0907	0.0302	0.474	0.111	0.0101	0.111	0.0304	0.0606	0.0404	0.714	0.0906	0.0201	0.0201	0.0604	0	0.0302	0.0101	0	0.0202	0.0201	0	0.0501	0	0.0201	0.262	0.0201	0.0101	0	0.0201	0.101	0.01	0	0	0.0403	0.0101	0	3.5	0.0203	0.0203	0.0606	0.252	0	0.0101	0	0.0202	0.071	0.0201	0.192	0	0	0	0	0.0203	0.0101	0.0508	2.02	0	0	0.0404	0	0.0101	0.0799	0	0	0	0	0	0	0	0	0.0708	0.01	0	0	0	0	0.2
Thelephoraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.02	0	0.0101	0	0.0101	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Hypocreaceae	0	0	0.02	0.0101	0	0	0.0202	0	0.0201	0.0101	0	0	0.0102	0.0101	0.0101	0.0101	0.0101	0	0.0101	0.0302	0.0604	0	0.0101	0.0101	0	0	0.0202	0.0101	0	0.0101	0.01	0	0	0	0.0101	0	0.0101	0	0	0	0.01	0	0	0	0.0101	0	0	0.0101	0.0101	0	0.0303	0	0.0203	0.0101	0.00998	0.0202	0.0202	0.01	0.0404	0.0504	0.0101	0.0607	0	0.0505	0.0202	0.0101	0	0	0.0101	0	0	0.01	0	0	0	0	0.0101	0	0	0.0101	0	0.0701	0	0	0	0	0	0	0	0.0101	0	0.0101	0	0	1.57	0	0	0.0202	0	0	0.0303	0	0	0	0	0	0	0.0101	0.0302	0	0.0302	0	0	0.0201	0.0101	0.01	0.0202	0.01	0	0.01	0	0	0	0.171	0	0.01	0	0.0101	0.01	0	0	0.0403	0	0	0.0101	0	0.0203	0	0	0	0.0101	0.0101	0.0202	0.0608	0	0.0303	0	0.0101	0.0101	0.0101	0.0304	0	0.0203	7.99	0.0101	0	0.0101	0.0202	0.0101	0.00999	0	0	0.0101	0.0101	0.0202	0.0101	0.0101	0.0102	0	0	0.0201	0	0.0101	0	0.2
Sporormiaceae	0.0602	0.05	0.0901	0.202	0.081	0.111	0.476	0.13	0.211	0.373	0.0909	0.272	0.224	0.0807	0.0807	0.101	0.121	0.0202	0.0911	0.0704	1.76	0.201	0.141	0.101	0.0708	0.0504	0.0708	0.0806	0.0801	0.111	0.0602	0.0303	0.1	0.424	0.573	0.0401	0.212	0.12	0.111	0.0806	0.18	0.333	0.475	0.111	0.181	0.333	0.101	0.0607	0.0905	0.0903	0.0606	0.203	0.263	0.131	0.589	0.324	0.091	0.441	1.23	0.0303	0.0908	0.222	0.131	0.383	0.152	0.141	0.0808	0.202	0.121	0.0501	1.37	1.37	0.0502	0.0402	0.0402	0.0303	0.0504	0.111	0.17	0.0201	0.0503	0.0902	0.362	0.0502	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.01	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0203	0	0	0	0	0	0	0	0	0.00999	0	0	0	0.0101	0	0.0201	0	0	0.0202	0.03	0.0201	0	0	0	0.2
Inocybaceae	0	0.01	0.01	0.0101	0.0101	0	0	0	0	0	0	0	0.0102	0	0.0101	0.0203	0.0101	0	0	0.0101	0.0101	0.01	0	0.0101	0.0101	0	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0.0101	0.0202	0	0.01	0	0	0	0.0101	0.00998	0.0101	0.0101	0.01	0.0101	0	0	0	0	0	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0.0101	0	0.0101	0	0	0	0	0.0101	0	0.0101	0	0	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0	0.0101	0.0101	0	0.0101	0	0	0	0.0101	0.0101	0	0.0101	0	0	0	0.0102	0	0	0	0	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Sporocadaceae	0	0	0	0	0	0	0.0304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0.01	0	0	0	0	0	0.0601	0.0404	0.121	0	0.0505	0.0101	0.0604	0.0302	0	0.0909	0.0403	0.0202	0.0201	0.0505	0.0605	0.0101	0.0504	0	0	0.0201	0	0.0606	0	0	0.0101	0.0101	0.0101	0.0101	0.0305	0	0.0202	0.01	0	0.0201	0	0	0	0	0.0101	0	0.0101	0.03	0	0.0101	0.0401	0	0	0.0504	0	0.162	0.0504	0	0	0	0.0202	0	0	0	0	0.0101	0.01	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0.00999	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.1
Sporidiobolaceae	0	0	0.02	0.0101	0	0.0504	0.0101	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0201	0	0	0.01	0	0.01	0.0101	0.0101	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0401	0	0.0101	0	0.0303	0	0.0101	0.0101	0	0	0	0	0	0	0.0202	0.0101	0.0202	0.0202	0.0101	0.0201	0	0.0101	0	0	0.0101	0.0402	0.0201	0	0	0	0.0202	0.01	0.0202	0.0201	0	0.02	0	0	0	0	0.0202	0.01	0.0503	0	0	0.0101	0	0.0302	0	0.0202	0	0.0304	0.0203	0	0.0202	0	0	0.0101	0.0101	0.0406	0.01	0.0101	0.0101	0.0202	0.0302	0.0707	0.0203	0.0202	0	0	0.0101	0.0101	0.0303	0.0202	0.0101	0	0.01	0	0.0201	0	0	0.0101	0	0	0	0.01	0	0.0101	0.0101	0.0202	0.1
Mortierellaceae	0.01	0	0	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0.01	0	0	0.0505	0	0	0.0101	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0303	0	0	0.0101	0	0	0.0303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0.0404	0	0	0	0.0101	0	0.0403	0.0101	0.0101	0	0	0	0.0101	0.0101	0	0	0.0101	0.0202	0.01	0.0101	0	0	0.0701	0	0	0	0	0.0101	0.02	0.0201	0	0.01	0	0	0	0	0	0	0.0709	0.0102	0	0	0	0	0.0202	0	0.0101	0	0	0	0	0	0	0	0.0101	0	0	0	0.0101	0	0.0506	0	0.00999	0.01	0.0101	0.0201	0	0.0202	0	0	0	0	0.01	0	0	0	0	0.1
Orbiliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0604	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0.0101	0	0	0.0203	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141	0.01	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0.0203	0	0	0.0405	0	0.0505	0.0202	0	0.0101	1.75	0	0.0101	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.1
Chaetomiaceae	0.0201	0	0	0	0	0	0	0	0.0201	0	0	0	0	1.15	0	0.0101	0	0	0	0	0	0.0201	0	0	0	0	0	0.0201	0	0	0	0	0.0401	0	0	0.01	0.0101	0.01	0	0	0.02	0	0	0	0	0.0202	0.0101	0	0.0101	0	0.0202	0	0	0	0	0.0101	0.0101	0	0.0404	0.0303	0.0202	0	0	0.0101	0	0	0	0	0.0101	0	0.0101	0	0.0402	0	0	0	0.0303	0.0908	0.01	0	0	0.01	0.01	0.01	0.0301	0.0202	0.0405	0.0302	0.0404	0.0504	0.0201	0.0604	0.202	0.0202	0.0302	0.0202	0.0201	0.0606	0.0504	0.0504	0.0504	0.0303	0.0101	0.0503	0.0709	0.0606	0.0101	0.0101	0.0403	0.0604	0.0403	0.0201	0.0711	0.0302	0.0403	0.0701	0.0404	0.01	0.01	0.02	0.0101	0	0.0303	0.0101	0.0101	0.07	0.0704	0.151	0.12	0.0402	0.768	0.131	0.0203	0.0911	0.0504	0.354	0.162	0.0908	0.0908	0.121	0.151	0.131	0.0404	0.0406	0.191	0.0706	3.66	0.121	0.151	0.121	0.152	0.0807	0.122	0.142	0.0905	0.091	0.0505	0.404	0.0811	0.05	0.12	0.645	0.201	0.0907	0.171	0.151	0.809	0.173	0.212	0.31	0.0804	0.273	0.111	0.0707	0.1
Herpotrichiellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0.0101	0	0	0	0	0	0	0.0404	0	0	0	0	0	0	0	0	0.0303	0	0	0	0	0	0	0	0.0706	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
