ID	bacteria	spike	group	Group	sample01	sample02	sample03	sample04	sample05	mean
46	Act-101	E05	1:01:01	1	0.718870347	1.250352278	0.641760967	0.638636726	NA	0.812405079
47	Act-135	E05	1:01:01	1	0.240479247	0.398309065	0.216245543	0.242873069	NA	0.274476731
48	Act-140	E05	1:01:01	1	0.611039795	1.100986379	0.603007286	0.523968785	NA	0.709750561
49	Bac-186	E05	1:01:01	1	1.3042362	2.308125881	1.266470315	1.230291448	NA	1.527280961
50	Fir-11	E05	1:01:01	1	1.700470689	1.387505871	1.029297783	1.286032808	NA	1.350826788
51	Pro-1203	E05	1:01:01	1	0.673513051	0.585251292	0.439466749	0.457875458	NA	0.539026637
52	Pro-1204	E05	1:01:01	1	0.678647839	0.568341945	0.409238878	0.529542921	NA	0.546442896
53	Pro-670	E05	1:01:01	1	0.353444587	0.318459371	0.210044954	0.262780698	NA	0.286182402
54	Pro-672	E05	1:01:01	1	0.200256739	0.173790512	0.110835529	0.163242555	NA	0.162031334
55	Act-101	E55	1:01:01	1	0.721801159	1.272282609	0.461856889	0.473789393	NA	0.732432513
56	Act-135	E55	1:01:01	1	0.251448952	0.446195652	0.165878179	0.152805534	NA	0.254082079
57	Act-140	E55	1:01:01	1	0.633080695	1.091304348	0.468953282	0.425826287	NA	0.654791153
58	Bac-186	E55	1:01:01	1	1.369594293	2.392934783	0.948551153	0.877478862	NA	1.397139773
59	Fir-11	E55	1:01:01	1	1.698172091	1.472826087	0.770845653	0.880860876	NA	1.205676177
60	Pro-1203	E55	1:01:01	1	0.651359786	0.613043478	0.301596688	0.382475019	NA	0.487118743
61	Pro-1204	E55	1:01:01	1	0.672759697	0.65923913	0.322590183	0.397847809	NA	0.513109205
62	Pro-670	E55	1:01:01	1	0.351761034	0.333695652	0.158781786	0.212144504	NA	0.264095744
63	Pro-672	E55	1:01:01	1	0.235844851	0.184782609	0.095209935	0.117755573	NA	0.158398242
64	Act-101	E04	1:01:01	1	0.536542413	1.103640257	0.357779041	0.301514875	NA	0.574869146
65	Act-135	E04	1:01:01	1	0.174053419	0.355888651	0.113700966	0.102755977	NA	0.186599754
66	Act-140	E04	1:01:01	1	0.425887878	0.940042827	0.308508622	0.238729695	NA	0.478292255
67	Bac-186	E04	1:01:01	1	0.992662166	2.267665953	0.745309835	0.634969885	NA	1.16015196
68	Fir-11	E04	1:01:01	1	1.166715586	1.145182013	0.486829638	0.571089615	NA	0.842454213
69	Pro-1203	E04	1:01:01	1	0.474024068	0.495503212	0.214705325	0.226866216	NA	0.352774705
70	Pro-1204	E04	1:01:01	1	0.484884062	0.526766595	0.234413493	0.23781712	NA	0.370970317
71	Pro-670	E04	1:01:01	1	0.246844731	0.25738758	0.113700966	0.122832634	NA	0.185191478
72	Pro-672	E04	1:01:01	1	0.150865864	0.155460385	0.074474133	0.07829896	NA	0.114774836
73	Act-101	E0520	1:01:01	1	0.429893568	1.04692429	0.280270348	0.266459075	NA	0.50588682
74	Act-135	E0520	1:01:01	1	0.159416937	0.38840694	0.094334196	0.091043891	NA	0.183300491
75	Act-140	E0520	1:01:01	1	0.352383156	0.91955836	0.28041415	0.231316726	NA	0.445918098
76	Bac-186	E0520	1:01:01	1	0.875057844	2.125788644	0.628702905	0.587188612	NA	1.054184501
77	Fir-11	E0520	1:01:01	1	0.966913466	1.171135647	0.440897325	0.524466192	NA	0.775853158
78	Pro-1203	E0520	1:01:01	1	0.399814901	0.494085174	0.182053494	0.213671412	NA	0.322406245
79	Pro-1204	E0520	1:01:01	1	0.411152244	0.51340694	0.204199022	0.245551601	NA	0.343577452
80	Pro-670	E0520	1:01:01	1	0.220268394	0.272476341	0.099654875	0.119661922	NA	0.178015383
81	Pro-672	E0520	1:01:01	1	0.140906988	0.162066246	0.05881507	0.076215896	NA	0.10950105
