id	microbialload	site	Condition	Genotype	type
BacDWYJ06	12.05566751	Hn	dry	WYJ7DEP1	Bac
BacDWYJ08	5.750042804	Hn	dry	WYJ7DEP1	Bac
BacDWYJ09	3.431838765	Hn	dry	WYJ7DEP1	Bac
BacDWYJ11	9.013734442	Hn	dry	WYJ7DEP1	Bac
BacDWYJ12	5.695791618	Hn	dry	WYJ7DEP1	Bac
BacDWYJ13	7.491387267	Hn	dry	WYJ7DEP1	Bac
BacDWYJ14	4.186580077	Hn	dry	WYJ7DEP1	Bac
BacDWYJ15	7.823354666	Hn	dry	WYJ7DEP1	Bac
BacWMH6302	2.255800908	Hn	wet	MH63	Bac
BacWMH6303	2.536314941	Hn	wet	MH63	Bac
BacWMH6304	2.283883466	Hn	wet	MH63	Bac
BacWMH6305	1.562547671	Hn	wet	MH63	Bac
BacWMH6306	1.592601425	Hn	wet	MH63	Bac
BacWMH6308	1.595008015	Hn	wet	MH63	Bac
BacWMH6309	1.823373423	Hn	wet	MH63	Bac
BacWMH6310	1.45213117	Hn	wet	MH63	Bac
BacWMH6311	1.937961369	Hn	wet	MH63	Bac
BacWMH6312	1.739952138	Hn	wet	MH63	Bac
BacWMH6313	2.656624932	Hn	wet	MH63	Bac
BacWMH6314	2.655592639	Hn	wet	MH63	Bac
BacWMH6315	1.078098921	Hn	wet	MH63	Bac
BacWWYJ01	2.963155014	Hn	wet	WYJ7DEP1	Bac
BacWWYJ02	1.871596901	Hn	wet	WYJ7DEP1	Bac
BacWWYJ03	1.609775081	Hn	wet	WYJ7DEP1	Bac
BacWWYJ04	1.170211072	Hn	wet	WYJ7DEP1	Bac
BacWWYJ05	2.005788289	Hn	wet	WYJ7DEP1	Bac
BacWWYJ06	1.281459494	Hn	wet	WYJ7DEP1	Bac
BacWWYJ08	1.342566612	Hn	wet	WYJ7DEP1	Bac
BacWWYJ09	1.577827589	Hn	wet	WYJ7DEP1	Bac
BacWWYJ10	2.324093479	Hn	wet	WYJ7DEP1	Bac
BacWWYJ11	1.98301006	Hn	wet	WYJ7DEP1	Bac
BacWWYJ12	1.781134754	Hn	wet	WYJ7DEP1	Bac
BacWWYJ13	1.982763378	Hn	wet	WYJ7DEP1	Bac
BacWWYJ15	0.942886914	Hn	wet	WYJ7DEP1	Bac
