ID	bacteria	spike	group	Group	sample01	sample02	sample03	sample04	sample05	mean
100	Act-101	E55	2:02:01	3	1.136175252	0.748274462	1.281328321	1.106842737	0.903954802	1.035315115
101	Act-135	E55	2:02:01	3	0.357015986	0.26999594	0.455513784	0.388355342	0.311962663	0.356568743
102	Act-140	E55	2:02:01	3	0.9437537	0.596427121	1.076441103	1.025210084	0.823384918	0.893043385
103	Bac-186	E55	2:02:01	3	2.014209591	1.465692245	2.563283208	2.49819928	2.078113486	2.123899562
104	Fir-11	E55	2:02:01	3	2.851391356	1.590336987	2.872180451	2.744897959	2.003930238	2.412547398
105	Pro-1203	E55	2:02:01	3	0.715216104	0.385302477	0.556390977	0.602040816	0.433308769	0.538451829
106	Pro-1204	E55	2:02:01	3	0.726465364	0.401948843	0.667919799	0.642256903	0.481454188	0.584009019
107	Pro-670	E55	2:02:01	3	0.407933689	0.232237109	0.348997494	0.322328932	0.25104397	0.312508239
108	Pro-672	E55	2:02:01	3	0.249851983	0.128704832	0.244360902	0.229291717	0.173913043	0.205224495
109	Act-101	E04	2:02:01	3	0.797468354	0.489795918	0.878446602	0.82613724	0.648673376	0.728104298
110	Act-135	E04	2:02:01	3	0.233985424	0.165028975	0.299029126	0.302235929	0.231777981	0.246411487
111	Act-140	E04	2:02:01	3	0.607978519	0.35021416	0.62368932	0.639938319	0.503812138	0.545126491
112	Bac-186	E04	2:02:01	3	1.609896433	1.11866969	1.772038835	1.732845027	1.404086612	1.527507319
113	Fir-11	E04	2:02:01	3	1.939777522	1.047115142	1.746407767	1.735929067	1.268679475	1.547581795
114	Pro-1203	E04	2:02:01	3	0.413885692	0.238599143	0.388737864	0.392058597	0.271424215	0.340941102
115	Pro-1204	E04	2:02:01	3	0.428461834	0.237843285	0.401165049	0.437933693	0.303446173	0.361770007
116	Pro-670	E04	2:02:01	3	0.212504795	0.133282943	0.233009709	0.216268311	0.147910948	0.188595341
117	Pro-672	E04	2:02:01	3	0.143076333	0.071554548	0.13631068	0.140709329	0.093321134	0.116994405
118	Act-101	E0520	2:02:01	3	NA	0.525358607	NA	0.723612991	0.548320413	0.599097337
119	Act-135	E0520	2:02:01	3	NA	0.194928279	NA	0.26826793	0.210852713	0.224682974
120	Act-140	E0520	2:02:01	3	NA	0.445696721	NA	0.621109608	0.460723514	0.509176614
121	Bac-186	E0520	2:02:01	3	NA	1.227971311	NA	1.564952639	1.298191214	1.363705055
122	Fir-11	E0520	2:02:01	3	NA	1.201588115	NA	1.653247632	1.175193798	1.343343182
123	Pro-1203	E0520	2:02:01	3	NA	0.269979508	NA	0.404600812	0.254005168	0.309528496
124	Pro-1204	E0520	2:02:01	3	NA	0.303022541	NA	0.419824087	0.274935401	0.332594009
125	Pro-670	E0520	2:02:01	3	NA	0.157018443	NA	0.215493911	0.156847545	0.1764533
126	Pro-672	E0520	2:02:01	3	NA	0.10732582	NA	0.143775372	0.097157623	0.116086272
