ID,bacteria,spike,group,sample01,sample02,sample03,sample04,sample05,mean
44,Pro-670,E05,1:01:01,0.035488285,0.02115951,0.026345113,NA,NA,0.027664303
45,Pro-672,E05,1:01:01,0.020095776,0.01116106,0.016396052,NA,NA,0.015884296
46,Act-101,E55,1:01:01,0.361043013,0.231303577,0.237011989,NA,NA,0.27645286
47,Act-135,E55,1:01:01,0.125919322,0.083062371,0.076544728,NA,NA,0.095175474
48,Act-140,E55,1:01:01,0.316469802,0.234702926,0.213034122,NA,NA,0.254735617
49,Bac-186,E55,1:01:01,0.684867395,0.474135383,0.438671995,NA,NA,0.532558258
50,Fir-11,E55,1:01:01,0.849565411,0.385456695,0.440670151,NA,NA,0.558564086
51,Pro-1203,E55,1:01:01,0.326053042,0.150753769,0.19136182,NA,NA,0.222722877
52,Pro-1204,E55,1:01:01,0.336304881,0.161543009,0.199200738,NA,NA,0.232349543
53,Pro-670,E55,1:01:01,0.176064185,0.079367425,0.106209653,NA,NA,0.120547088
54,Pro-672,E55,1:01:01,0.11811901,0.047738693,0.059022441,NA,NA,0.074960048
55,Act-101,E04,1:01:01,0.537265258,0.357440363,0.301879905,NA,NA,0.398861842
56,Act-135,E04,1:01:01,0.174295775,0.113782658,0.103121007,NA,NA,0.130399813
57,Act-140,E04,1:01:01,0.425469484,0.308405907,0.23891221,NA,NA,0.324262534
58,Bac-186,E04,1:01:01,0.992370892,0.744793639,0.634969885,NA,NA,0.790711472
59,Fir-11,E04,1:01:01,1.166960094,0.4863688,0.571819675,NA,NA,0.74171619
60,Pro-1203,E04,1:01:01,0.474178404,0.214880727,0.227048732,NA,NA,0.305369288
61,Pro-1204,E04,1:01:01,0.485328638,0.234002272,0.237999635,NA,NA,0.319110182
62,Pro-670,E04,1:01:01,0.247359155,0.11397198,0.123015149,NA,NA,0.161448761
63,Pro-672,E04,1:01:01,0.151115023,0.074403635,0.078481475,NA,NA,0.101333378
64,Act-101,E0520,1:01:01,0.859916782,0.561403509,0.532918149,NA,NA,0.651412813
65,Act-135,E0520,1:01:01,0.319001387,0.188955997,0.182384342,NA,NA,0.230113909
66,Act-140,E0520,1:01:01,0.704114656,0.5608283,0.462930012,NA,NA,0.575957656
67,Bac-186,E0520,1:01:01,1.749422099,1.257693414,1.174970344,NA,NA,1.394028619
68,Fir-11,E0520,1:01:01,1.932038835,0.882082255,1.049525504,NA,NA,1.287882198
69,Pro-1203,E0520,1:01:01,0.799352751,0.364394593,0.427935943,NA,NA,0.530561096
70,Pro-1204,E0520,1:01:01,0.822468793,0.408685649,0.491103203,NA,NA,0.574085882
71,Pro-670,E0520,1:01:01,0.440591771,0.199884958,0.239620403,NA,NA,0.293365711
72,Pro-672,E0520,1:01:01,0.282015719,0.117917745,0.152431791,NA,NA,0.184121752
