BacDMH6301	BacDMH6302	BacDMH6303	BacDMH6304	BacDMH6305	BacDMH6306	BacDMH6307	BacDMH6308	BacDMH6309	BacDMH6310	BacDMH6311	BacDMH6312	BacDMH6313	BacDMH6314	BacDMH6315	BacWMH6301	BacWMH6302	BacWMH6303	BacWMH6304	BacWMH6305	BacWMH6306	BacWMH6307	BacWMH6308	BacWMH6309	BacWMH6310	BacWMH6311	BacWMH6312	BacWMH6313	BacWMH6314	BacWMH6315	BacDMH63ZH01	BacDMH63ZH02	BacDMH63ZH03	BacDMH63ZH04	BacDMH63ZH05	BacDMH63ZH06	BacDMH63ZH07	BacDMH63ZH08	BacDMH63ZH09	BacDMH63ZH10	BacDMH63ZH11	BacDMH63ZH12	BacDMH63ZH13	BacDMH63ZH14	BacDMH63ZH15	BacWMH63ZH01	BacWMH63ZH02	BacWMH63ZH03	BacWMH63ZH04	BacWMH63ZH05	BacWMH63ZH06	BacWMH63ZH07	BacWMH63ZH08	BacWMH63ZH09	BacWMH63ZH10	BacWMH63ZH11	BacWMH63ZH12	BacWMH63ZH13	BacWMH63ZH14	BacWMH63ZH15	BacDWYJ01	BacDWYJ02	BacDWYJ03	BacDWYJ04	BacDWYJ05	BacDWYJ06	BacDWYJ07	BacDWYJ08	BacDWYJ09	BacDWYJ10	BacDWYJ11	BacDWYJ12	BacDWYJ13	BacDWYJ14	BacDWYJ15	BacWWYJ01	BacWWYJ02	BacWWYJ03	BacWWYJ04	BacWWYJ05	BacWWYJ06	BacWWYJ07	BacWWYJ08	BacWWYJ09	BacWWYJ10	BacWWYJ11	BacWWYJ12	BacWWYJ13	BacWWYJ14	BacWWYJ15	Bac2DWYJ01	Bac2DWYJ02	Bac2DWYJ03	Bac2DWYJ04	Bac2DWYJ05	Bac2DWYJ06	Bac2DWYJ07	Bac2DWYJ08	Bac2DWYJ09	Bac2DWYJ10	Bac2DWYJ11	Bac2DWYJ12	Bac2DWYJ13	Bac2DWYJ14	Bac2DWYJ15	Bac2WWYJ01	Bac2WWYJ02	Bac2WWYJ03	Bac2WWYJ04	Bac2WWYJ05	Bac2WWYJ06	Bac2WWYJ07	Bac2WWYJ08	Bac2WWYJ09	Bac2WWYJ10	Bac2WWYJ11	Bac2WWYJ12	Bac2WWYJ13	Bac2WWYJ14	Bac2WWYJ15	Bac2DMH6301	Bac2DMH6302	Bac2DMH6303	Bac2DMH6304	Bac2DMH6305	Bac2DMH6306	Bac2DMH6307	Bac2DMH6308	Bac2DMH6309	Bac2DMH6310	Bac2DMH6311	Bac2DMH6312	Bac2WMH6301	Bac2WMH6302	Bac2WMH6303	Bac2WMH6304	Bac2WMH6305	Bac2WMH6306	Bac2WMH6307	Bac2WMH6308	Bac2WMH6309	Bac2WMH6310	Bac2WMH6311	Bac2WMH6312	Bac2DMH63ZH01	Bac2DMH63ZH02	Bac2DMH63ZH03	Bac2DMH63ZH04	Bac2DMH63ZH05	Bac2DMH63ZH06	Bac2DMH63ZH07	Bac2DMH63ZH08	Bac2DMH63ZH09	Bac2DMH63ZH10	Bac2DMH63ZH11	Bac2DMH63ZH12	Bac2DMH63ZH13	Bac2DMH63ZH14	Bac2DMH63ZH15	Bac2WMH63ZH01	Bac2WMH63ZH02	Bac2WMH63ZH03	Bac2WMH63ZH04	Bac2WMH63ZH05	Bac2WMH63ZH06	Bac2WMH63ZH07	Bac2WMH63ZH08	Bac2WMH63ZH09	Bac2WMH63ZH10	Bac2WMH63ZH11	Bac2WMH63ZH12	Bac2WMH63ZH13	Bac2WMH63ZH14	Bac2WMH63ZH15	BacDBS01	BacDBS02	BacDBS03	BacDBS04	BacDBS05	BacDBS06	BacWBS01	BacWBS02	BacWBS03	BacWBS04	BacWBS05	BacWBS06	Bac2DBS01	Bac2DBS02	Bac2DBS03	Bac2DBS04	Bac2DBS05	Bac2DBS06	Bac2WBS01	Bac2WBS02	Bac2WBS03	Bac2WBS04	Bac2WBS05	Bac2WBS06
bacOTU_142	159	134	41	7	75	86	27	44	13	10	94	51	12	22	14	22	42	32	14	7	8	11	18	5	9	12	6	9	9	6	10	4	36	16	4	3	19	10	24	10	36	23	17	23	56	18	9	1	14	7	0	26	17	16	4	7	11	5	17	2	38	75	16	10	11	35	7	40	25	94	33	29	31	38	14	4	4	17	12	9	25	25	22	22	8	20	9	11	31	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_25	152	1	0	16	0	13	5	6	2	4	9	0	0	0	1	16	35	34	3	3	0	7	0	13	2	3	7	0	3	3	1	0	2	0	0	2	73	0	0	0	15	15	1	6	71	24	6	0	0	0	0	30	27	1	2	1	4	14	15	7	17	10	1636	188	1086	82	2206	28	398	75	29	121	160	27	6	9	283	6	4	0	13	2	3	32	4	75	0	7	18	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	1	0	2	0	1	2	0	1	0	3	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_28	130	137	264	190	264	201	456	55	93	69	443	481	555	95	86	6	2	23	4	1	56	3	53	26	5	2	20	66	1	9	175	138	257	104	48	47	74	80	45	60	259	76	176	92	46	56	3	4	35	5	3	6	10	5	2	10	1	6	4	0	35	142	57	2	1140	398	22	99	184	14	32	1	1	19	0	7	7	0	0	1	0	0	2	3	0	2	0	4	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_54	128	73	118	81	40	131	59	208	98	69	43	62	131	25	59	37	27	90	42	132	54	26	80	18	46	31	65	41	43	28	206	96	137	269	136	174	78	171	51	50	71	194	142	108	61	50	77	60	39	43	56	68	44	24	17	18	28	17	42	37	15	52	4	14	5	27	9	17	31	20	43	23	32	12	26	13	35	26	8	30	18	10	14	35	16	16	32	44	26	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
bacOTU_16	112	200	169	94	119	190	79	333	168	154	154	199	140	154	72	170	59	155	88	150	155	103	143	86	135	137	239	129	228	205	556	222	338	367	528	300	240	408	138	126	385	401	472	289	115	151	213	246	191	218	228	183	98	156	184	121	162	127	240	152	32	54	19	17	8	84	19	56	62	57	60	44	61	34	53	88	133	108	39	138	150	113	70	136	50	60	70	130	97	174	0	0	0	7	1	5	1	1	1	1	2	0	2	0	0	19	2	3	12	2	20	3	10	1	1	1	7	1	1	11	1	2	0	0	0	0	0	0	0	2	1	1	11	5	1	6	2	0	2	1	1	0	6	4	0	5	0	0	0	1	0	1	0	0	25	0	0	0	0	3	2	1	1	2	8	1	1	17	6	3	6	4	2	2	1	1	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
bacOTU_2040	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_85	102	82	162	70	24	77	184	52	43	49	55	41	31	43	36	24	30	66	31	35	44	17	36	4	43	15	8	33	9	8	12	5	13	10	8	11	6	19	11	3	44	30	38	50	51	9	4	16	4	16	8	19	13	13	10	6	17	4	14	8	61	98	54	25	16	33	34	65	59	66	64	50	90	49	41	25	25	22	13	21	36	10	12	42	11	16	25	65	14	32	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	7	2	3	2	1	1	2	3	0	1	0	1	0	1	0	0	1	0	0	0	0	0
bacOTU_40	101	168	33	30	48	7	28	4	7	609	36	18	133	15	63	54	79	73	150	33	153	226	58	224	133	242	301	22	104	122	20	8	13	20	2	250	27	48	18	4	17	205	18	172	0	80	53	53	13	155	6	111	5	72	118	16	38	67	131	118	5	1	195	60	102	13	182	257	10	5	22	48	7	2	20	9	10	89	44	52	30	149	143	60	45	48	27	178	44	124	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
bacOTU_15	98	71	398	51	48	448	86	313	13	27	53	1687	21	23	327	49	65	41	36	40	81	84	78	77	237	133	140	30	16	8	18	125	23	7	63	53	10	78	13	72	24	213	36	24	278	45	40	62	124	16	37	72	30	17	15	29	77	33	20	7	291	88	181	313	558	2845	689	153	60	32	599	27	27	38	28	8	8	15	11	4	16	6	9	12	11	9	16	33	12	7	56	25	24	25	25	13	23	32	15	74	68	47	18	58	21	23	17	16	43	12	32	28	45	15	44	19	21	19	22	34	26	9	11	17	16	12	13	7	6	8	23	15	21	63	10	33	40	112	13	1	45	9	53	33	8	9	7	35	38	19	31	32	12	11	29	33	11	39	13	58	14	30	19	19	112	20	14	13	27	23	30	15	212	90	3	0	1	1	4	0	0	0	0	0	0	0	3	4	1	3	1	4	4	1	4	0	4	2
bacOTU_1079	94	0	0	2	0	0	1	0	2	0	0	0	1	1	7	7	6	4	10	8	2	10	2	4	0	2	1	0	4	1	1	0	0	1	0	0	0	0	3	0	0	1	0	0	0	13	9	2	16	13	4	1	1	10	7	0	1	10	2	9	0	1	3	2	3	0	0	0	1	0	0	0	0	0	33	9	1	1	3	0	2	1	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	2	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_64	91	17	120	27	82	34	64	16	7	17	25	1	9	54	11	9	15	4	9	10	4	20	3	14	3	4	4	10	57	11	8	3	7	4	3	3	4	29	23	1	24	7	3	6	10	1	14	4	19	3	5	5	43	30	6	6	10	31	9	3	159	20	69	68	105	44	446	54	97	35	179	408	12	13	7	7	0	1	5	2	0	2	3	3	11	5	6	1	2	1	1	4	10	19	1	1	5	1	16	4	3	0	0	3	3	2	16	5	1	2	1	2	0	1	0	0	1	2	5	0	56	4	2	3	2	38	16	7	25	10	138	117	9	14	6	34	9	1	5	3	92	2	4	3	3	14	5	97	5	27	5	7	6	72	1	6	2	0	20	8	6	3	3	2	2	3	29	1	3	2	17	9	248	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_8	91	42	82	25	99	55	77	57	19	12	56	13	20	68	87	46	54	86	105	95	106	111	93	52	71	37	59	92	90	86	12	24	27	16	12	12	7	4	65	9	32	32	41	46	11	104	49	40	41	162	32	100	18	42	36	44	38	73	119	58	206	277	98	26	15	653	81	86	159	583	205	2518	1858	2063	1353	14	41	16	21	12	23	16	21	18	14	31	12	21	21	9	352	477	194	162	337	115	305	119	169	112	147	138	52	154	181	46	195	93	72	39	127	261	51	156	232	75	50	66	128	69	1162	2880	92	51	109	38	93	1290	42	11	434	126	57	48	15	22	80	45	54	13	26	22	51	115	132	130	4178	86	329	263	3974	181	116	21	2046	1962	1179	1428	226	52	17	64	23	137	26	31	161	24	66	29	38	31	39	27	184	111	127	110	137	167	79	39	67	69	15	15	18	19	11	6	7	12	26	20	8	43	14	7
bacOTU_472	90	5	3	11	0	16	0	41	5	27	0	33	0	2	3	8	0	1	0	5	2	1	0	0	0	0	0	3	0	0	2	2	67	10	0	14	0	25	3	1	1	0	5	7	0	1	0	0	0	2	1	25	4	0	0	0	9	2	1	0	3	0	20	0	35	4	1	29	10	6	10	3	3	1	1	2	0	0	0	0	1	1	0	7	0	1	1	4	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_1357	85	1	1	0	35	11	6	0	6	0	18	1	0	5	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	7	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	36	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
