Genus	Fun2DMH6301	Fun2DMH6302	Fun2DMH6303	Fun2DMH6304	Fun2DMH6305	Fun2DMH6306	Fun2DMH6307	Fun2DMH6308	Fun2DMH6309	Fun2DMH6310	Fun2DMH6311	Fun2DMH6312	Fun2DMH63ZH01	Fun2DMH63ZH02	Fun2DMH63ZH03	Fun2DMH63ZH04	Fun2DMH63ZH05	Fun2DMH63ZH06	Fun2DMH63ZH07	Fun2DMH63ZH08	Fun2DMH63ZH09	Fun2DMH63ZH10	Fun2DMH63ZH11	Fun2DMH63ZH12	Fun2DMH63ZH13	Fun2DMH63ZH14	Fun2DMH63ZH15	Fun2DWYJ01	Fun2DWYJ02	Fun2DWYJ03	Fun2DWYJ04	Fun2DWYJ05	Fun2DWYJ06	Fun2DWYJ07	Fun2DWYJ08	Fun2DWYJ09	Fun2DWYJ10	Fun2DWYJ11	Fun2DWYJ12	Fun2DWYJ13	Fun2DWYJ14	Fun2DWYJ15	Fun2WMH6301	Fun2WMH6302	Fun2WMH6303	Fun2WMH6304	Fun2WMH6305	Fun2WMH6306	Fun2WMH6307	Fun2WMH6308	Fun2WMH6309	Fun2WMH6310	Fun2WMH6311	Fun2WMH6312	Fun2WMH63ZH01	Fun2WMH63ZH02	Fun2WMH63ZH03	Fun2WMH63ZH04	Fun2WMH63ZH05	Fun2WMH63ZH06	Fun2WMH63ZH07	Fun2WMH63ZH08	Fun2WMH63ZH09	Fun2WMH63ZH10	Fun2WMH63ZH11	Fun2WMH63ZH12	Fun2WMH63ZH13	Fun2WMH63ZH14	Fun2WMH63ZH15	Fun2WWYJ01	Fun2WWYJ02	Fun2WWYJ03	Fun2WWYJ04	Fun2WWYJ05	Fun2WWYJ06	Fun2WWYJ07	Fun2WWYJ08	Fun2WWYJ09	Fun2WWYJ10	Fun2WWYJ11	Fun2WWYJ12	Fun2WWYJ13	Fun2WWYJ14	Fun2WWYJ15	FunDMH6301	FunDMH6302	FunDMH6303	FunDMH6304	FunDMH6305	FunDMH6306	FunDMH6307	FunDMH6308	FunDMH6309	FunDMH6310	FunDMH6311	FunDMH6312	FunDMH6313	FunDMH6314	FunDMH6315	FunDMH63ZH01	FunDMH63ZH02	FunDMH63ZH03	FunDMH63ZH04	FunDMH63ZH05	FunDMH63ZH06	FunDMH63ZH07	FunDMH63ZH08	FunDMH63ZH09	FunDMH63ZH10	FunDMH63ZH11	FunDMH63ZH12	FunDMH63ZH13	FunDMH63ZH14	FunDMH63ZH15	FunDWYJ01	FunDWYJ02	FunDWYJ03	FunDWYJ04	FunDWYJ05	FunDWYJ06	FunDWYJ07	FunDWYJ08	FunDWYJ09	FunDWYJ10	FunDWYJ11	FunDWYJ12	FunDWYJ13	FunDWYJ14	FunDWYJ15	FunWMH6301	FunWMH6302	FunWMH6303	FunWMH6304	FunWMH6305	FunWMH6306	FunWMH6307	FunWMH6308	FunWMH6309	FunWMH6310	FunWMH6311	FunWMH6312	FunWMH6313	FunWMH6314	FunWMH6315	FunWMH63ZH01	FunWMH63ZH02	FunWMH63ZH03	FunWMH63ZH04	FunWMH63ZH05	FunWMH63ZH06	FunWMH63ZH07	FunWMH63ZH08	FunWMH63ZH09	FunWMH63ZH10	FunWMH63ZH11	FunWMH63ZH12	FunWMH63ZH13	FunWMH63ZH14	FunWMH63ZH15	FunWWYJ01	FunWWYJ02	FunWWYJ03	FunWWYJ04	FunWWYJ05	FunWWYJ06	FunWWYJ07	FunWWYJ08	FunWWYJ09	FunWWYJ10	FunWWYJ11	FunWWYJ12	FunWWYJ13	FunWWYJ14	FunWWYJ15	All
Acremonium	0.0401	0.04	0.04	0.101	0.284	0.343	0.192	0.01	1.2	1.05	0.0101	0.0202	0.112	0.182	0.515	0.243	0.0202	0.202	0.0911	0.0302	0.131	0.0602	0.0201	0.0303	3.13	0.0302	0.283	0.0604	0.0501	0.0302	0.0201	0.0202	0	0.303	0.0201	0.0301	0.172	0.0401	0.0202	0.0302	0.03	0.0505	1.65	0.151	0.0202	2.69	0.111	0	0.0402	0.0301	0.0202	0.0811	0	0	0.12	0.0708	2.76	0.11	0.0506	0.0404	0.0101	0.152	0.0202	0.737	0.101	0.0101	0.232	0.0202	0.0202	0.0501	1.34	0.381	0.0804	0.0201	0.0101	0.0303	0.0202	0.0908	0.0602	0.201	0.0704	0.0501	0.271	0.0201	0.02	0.687	0.405	0.614	0.333	0.111	0.0201	0	0.435	0.0404	0.363	0.0605	0.141	0.0303	0.101	0.766	0.151	0.343	0	0.846	0.0101	0.0909	0.0202	0.0302	0.0101	0.483	0.0201	0.0503	0	0.674	0.0907	0.13	0.0202	0.01	0.01	0	0.0604	0.0907	0	0.171	0.0101	0.06	0.0302	0.0302	0.12	0	0	0	0	0.0101	0.0101	0.0203	0.0102	0	0.0101	0	0	0.121	0.0101	0	0	0	0	0.0202	0.0101	0	0.0203	0	0.0203	0	0	0	0	0.172	0	0.00999	0	0	0	0	0.0101	0.0201	0	0	0	0.02	0.0201	0	0	0	0.2
Inocybe	0	0.01	0.01	0.0101	0.0101	0	0	0	0	0	0	0	0.0102	0	0.0101	0.0203	0.0101	0	0	0.0101	0.0101	0.01	0	0.0101	0.0101	0	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0.0101	0.0202	0	0.01	0	0	0	0.0101	0.00998	0.0101	0.0101	0.01	0.0101	0	0	0	0	0	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0.0101	0	0.0101	0	0	0	0	0.0101	0	0.0101	0	0	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0	0.0101	0.0101	0	0.0101	0	0	0	0.0101	0.0101	0	0.0101	0	0	0	0.0102	0	0	0	0	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Sarocladium	0	0	0.01	0.0101	0.0101	0.0404	0.0202	0	0.352	0.0403	0	0	0	0	0	0.0101	0.0101	0	0.0101	0	0	0.01	0.0201	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0.0403	0.01	0	0	0.0403	0	0	0	0	0	0.01	0.0101	0	0	0	0	0	0.0101	0	0	0.969	0	0	0.0101	0	0.0101	0	0	0.0101	0	0.01	0.171	0.01	0.01	0.01	0.0101	0	0	0	0	0	0.0101	0	0	0	0.01	0	0.0101	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0.252	0.0101	0	0	0.0101	0	0	0.0101	0.0604	0	0	0.122	0	0	0	0	0	0	0	0	0.544	0	0	0	0	0	0	0	0	0.152	0	0	0	0	0	0	0	0	0	0.0101	0.172	0	0	0.0301	0	0	0	0.0101	0	0	0	0	0.0709	0	0.0101	0	0	0.0304	0	0	0	0	0	0	0	0	0	0	0.01	0.201	0	0	0.101	0.1
Scolecobasidium	0	0	0	0.0101	0	0	0	0	0.0101	0.0504	0	0	0.0102	0.0101	0.0404	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0.0101	0	0	0.0202	0	0	0	0	0.162	0.0606	0.302	0	0	0	0	0	0.01	0.101	0	0.0709	0.0101	0	0.0101	0	0.01	0	0	0	0.0202	0	0	0	0.0101	0.0505	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.0101	0	0.01	0	0	0	0	0.0101	0	0.0202	0.0403	0.0101	0	0	0.0202	0	0.0101	0	0	0.0302	0.525	0	0	0	0	0.0101	0.0101	2.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.0201	0.0805	0.0101	0	0	0	0	0.0101	0	0.0202	0.0202	0	0	0.0101	0.192	0.0406	0	0.101	0.0101	0.0101	0	0	0	0	0.0203	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101	0.0101	0	0.0101	0.1
Moesziomyces	0.0803	0.06	0.14	0.434	0.162	0.363	0.283	0.0802	0.282	0.111	0.0505	0.0403	0.112	0.0605	1.12	0.0304	0.0202	0.151	0.0809	0.0403	0.0403	0.0401	0.0905	0.0809	0.0404	0.0604	0.091	0.151	0.0701	0.0504	0.0903	0.121	0.01	0.111	0.151	0.02	0.121	0.0702	0.192	0.393	0.0501	0.111	0.0202	0.0202	0.0302	0.0404	0.0101	0.0303	0.0302	0.01	0.182	0.0507	0.0101	0.0907	0.03	0.212	0.192	0.0702	0.162	0.0404	0.0101	0.0303	0.0505	0.151	0.121	0.0907	0.0404	0.0202	0.0101	0.0501	0.151	0.14	0.0201	0.01	0.0302	0.0101	0.0101	0.101	0.491	0.0101	0.0201	0.02	0.1	0.0401	0.14	0.0606	0.202	0.111	0.101	0.0908	0.353	0.191	0.212	0.202	0.363	0.0907	0.0907	0.0908	0.192	0.212	0.605	0.232	0.333	0.544	0.638	0.515	0.263	1.07	0.503	0.604	0.201	0.151	0.497	0.765	0.212	0.0601	0.151	0.161	0.0201	0.1	0.121	0.272	0.0505	0.201	0.192	0.34	0.221	0.685	0.17	0.151	0.131	0.393	0.0709	0.233	0.121	0.304	0.335	0.0505	0.161	0.111	0.363	0.667	0.475	0.608	1.04	0.121	0.403	0.383	1.16	0.475	1.46	0.575	0.661	0.425	0.201	0.506	0.647	0.293	0.477	0.12	0.0401	0.101	0.232	0.0504	0.0706	0.111	0.0809	0.0406	0.0607	0.22	0.0603	0.273	0.151	0.162	0.1
Mortierella	0.01	0	0	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0.01	0	0	0.0505	0	0	0.0101	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0303	0	0	0.0101	0	0	0.0303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0.0404	0	0	0	0.0101	0	0.0403	0.0101	0.0101	0	0	0	0.0101	0.0101	0	0	0.0101	0.0202	0.01	0.0101	0	0	0.0701	0	0	0	0	0.0101	0.02	0.0201	0	0.01	0	0	0	0	0	0	0.0709	0.0102	0	0	0	0	0.0202	0	0.0101	0	0	0	0	0	0	0	0.0101	0	0	0	0.0101	0	0.0506	0	0.00999	0.01	0.0101	0.0201	0	0.0202	0	0	0	0	0.01	0	0	0	0	0.1
Trichoderma	0	0	0.02	0.0101	0	0	0.0202	0	0.0201	0.0101	0	0	0.0102	0.0101	0.0101	0.0101	0.0101	0	0.0101	0.0302	0.0604	0	0.0101	0.0101	0	0	0.0202	0.0101	0	0.0101	0.01	0	0	0	0.0101	0	0.0101	0	0	0	0.01	0	0	0	0.0101	0	0	0.0101	0.0101	0	0.0303	0	0.0203	0.0101	0.00998	0.0202	0.0202	0.01	0.0404	0.0303	0.0101	0.0607	0	0.0505	0.0202	0.0101	0	0	0.0101	0	0	0.01	0	0	0	0	0.0101	0	0	0	0	0.0701	0	0	0	0	0	0	0	0.0101	0	0.0101	0	0	1.57	0	0	0.0101	0	0	0.0202	0	0	0	0	0	0	0.0101	0.0201	0	0	0	0	0.0201	0	0	0.0101	0	0	0	0	0	0	0.161	0	0.01	0	0.0101	0.01	0	0	0	0	0	0.0101	0	0.0203	0	0	0	0.0101	0.0101	0.0202	0.0507	0	0.0101	0	0	0.0101	0.0101	0.0203	0	0.0203	0.0101	0.0101	0	0	0	0	0.00999	0	0	0.0101	0.0101	0.0202	0.0101	0.0101	0.0102	0	0	0.0201	0	0.0101	0	0.1
Edenia	0.201	0.18	0.41	0.777	0.0709	4.28	1.08	0.181	1.36	10.1	0.646	0.978	0.183	5.07	7.48	0.729	0.202	25.6	0.223	0.0302	2.46	0.14	2.9	0.0202	24.8	0.0403	1.54	0.101	0.0601	0.836	0.0201	0.0404	0.0301	0.0202	0.121	0	0.0202	0.883	0.0809	0.0202	1.07	0.0707	0.263	1.61	0.282	0.687	0.494	0.0303	0.211	0.441	0.0707	0.831	0.497	0.0403	0.00998	1.02	0.222	0.211	0.243	0.151	0.192	0.152	0.101	0.545	3.35	0.534	0.414	0.141	1.07	0.17	2.47	1.57	0.0603	0.0803	0.0503	0.212	0.101	0.0505	0.01	0.131	0.0704	0.02	0.422	0.0301	0.15	0.172	0.0304	0.0302	2.59	0.0807	0	0.0805	0.0101	0.323	0.131	0.151	0.695	0	0.0706	0.0101	0.111	0.343	0.0303	0.141	0.0304	0.374	0.0202	0.0201	0.0302	0.0101	0.0201	0	0	0.0101	0.0202	0	0	0	0	0	0.0101	0.0302	0	0.261	0.151	0.04	0.0302	0	0.15	0	0	0.0101	0.223	0.0202	0.222	0	0	0.0908	0.0202	0.0607	0.0404	0.0404	0.0101	0.0406	0.0301	0.0101	0	0.888	0.111	0.0303	0.0101	0.0101	0.0305	0.0405	0.0905	0	0	0.0708	0.0507	0.00999	0	0.111	0	0	0	0	0.0101	0.0305	0.0202	0	0.563	0.0405	0.0505	0.111	0.1
Psathyrella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.0101	0	0.0101	0.0101	0.0201	0	0	0	0	0	0	0.01	0	0.01	0	0.0201	7.88	0	0.101	0	0	0	0.231	0	0	0	0	0	0	0.0203	0	0	0	0	0.242	0	0	0	0	0	0	17.8	0	0	0.0304	0	0.0508	0.314	0	1.55	0	0	0	0.02	0.321	0	0.0101	0.0101	0	0	0.182	0	0	0	0	0	0.0101	0	0.1
Talaromyces	0.0301	0.03	0.03	0.0505	0.0101	0.0404	0.172	0.0201	0.0403	0.0303	0.0101	0.0202	0.0611	0.0101	0	0.0101	0	0	0.0101	0	0.0101	0.0201	0.0101	0.0202	0.0101	0	0.0202	0.0201	0.02	0.0101	0	0.0101	0.01	0.0202	0.0201	0	0.0101	0.0201	0	0.0302	0.01	0.0101	0.0101	0.0101	0.0202	0	0	0	0	0.0201	0.0101	0	0	0.0101	0.03	0	0.0404	0.01	0.0101	0.0404	0	0	0	0.0202	0.0405	0.0101	0	0	0	0	0.0201	0.01	0	0	0	0	0	0	0.0301	0	0	0.01	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Hannaella	0	0	0.01	0.0101	0	0.0605	0.0202	0	0	0.0403	0.0101	0	0	0.0101	0	0	0	0	0.0101	0.0101	0.0101	0	0	0	0	0	0	0.0201	0	0	0	0.0303	0	0.0101	0	0	0.0101	0.01	0	0	0.01	0	0	0	0.0202	0	0.0101	0	0.0101	0	0	0.0203	0	0.0101	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0.0401	0	0	0	0	0	0.0401	0	0.0202	0	0.0303	0.0101	0.0403	0.0201	0.0101	0.0101	0	0.0101	0.0101	0.0202	0.0403	0	0.111	0.0909	0.0605	0.0403	0.081	0.0505	0.0202	0.0402	0.0302	0.211	0.0504	0.0302	0.0711	0.0503	0.0605	0.02	0	0.0201	0	0	0.0101	0	0	0.0101	0.0101	0.04	0.0403	0.0101	0.01	0.0201	0	0.0605	0	0.0405	0.0101	0.0405	0.0609	0	0.0807	0.0607	0.0807	0.0808	0.101	0.071	0.0804	0.0303	0.0202	0.0101	0.111	0.0707	0.132	0.0505	0.061	0.111	0.0201	0.0708	0.0707	0.0404	0.101	0.03	0.01	0.0101	0.0403	0	0	0	0	0	0	0.01	0	0.0101	0	0.0101	0.1
Pseudocercospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0.0101	0	0	0	0	0	0.01	0	0	0	0	0	0	0.0101	0	0.0101	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Cyphellophora	0	0	0.01	0.0404	0	0	0.0202	0	0	0.0101	0	0.0202	0.0102	0	0	0	0.0101	0.0706	0	0	0.0201	0	0	0	0.0404	0	0.0101	0.0101	0.01	0	0.01	0	0	0	0	0	0.0101	0	0	0	0	0	0	0.171	0	0.0808	0	0	0	0.01	0.0101	0.0101	0.0304	0	0	0.0101	0.0101	0	0	0.0101	0	0	0	0.0202	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.0401	0.0101	0	0	0.01	0	0	0.0101	0.0202	0.0201	0.323	0	0.0907	0.0101	0.091	0.0101	0.0202	0.0101	0.151	0	0.0403	0.0101	0.101	0.0505	0.0101	0.0101	0	0.0303	0.232	0.171	0.0101	0.0402	0	0.0101	0.0102	0.412	0	0	0	0	0	0	0	0.0101	0	0.0302	0	0	0	0.0302	0	0	0	0.0302	0.0101	0.0202	0.302	0.0203	0	0.101	0.0605	0.0101	0.0202	0.0202	0.111	0.0101	0	0.0303	0	0	0	0	0	0.0101	0.0102	0	0	0	0.0202	0	0.0304	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Glomus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0	0	0.0101	0	0	0.0101	0	0	0	0.0101	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Coprinellus	0	0	0	0.0202	0	0.0101	0	0	0	0	0	0	0	0.192	0	0	0	0	0	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0.0703	0	0.0101	0.01	0	0	0	0	0	0.0101	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pestalotiopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.0401	0.0303	0.0911	0	0.0303	0.0101	0.0403	0.0101	0	0.0707	0.0302	0.0202	0.0101	0.0303	0.0403	0	0.0303	0	0	0.0101	0	0.0303	0	0	0.0101	0	0.0101	0.0101	0.0102	0	0	0.01	0	0	0	0	0	0	0.0101	0	0.0101	0.02	0	0	0	0	0	0.0403	0	0.0607	0	0	0	0	0.0202	0	0	0	0	0.0101	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.1
Myrothecium	0.351	0.18	0.04	0.363	0.0608	0.192	0.364	0.0602	0.171	0.101	0.0202	0.0202	0.723	0.0403	0.0908	0.0101	0.0101	1.15	0.0202	0.0101	0.171	0.0201	0.0503	0.0101	0.364	0.0101	0.263	0.0302	0.02	0	0	0.0303	0	0	0.131	0.0301	0.0101	0.0201	0.0404	0	0.0401	0.283	0.152	1.52	0.0202	0.0202	0.0202	0	0.231	0	0.0505	0.0608	0.0101	0.0101	0.02	0.0101	0.091	0	0	0.151	0.0101	0.0202	0.0101	0.0303	0.0303	0.0302	2.12	0	0.0302	0.01	0.423	0.0601	0	0	0.0101	0.0303	0.0605	0.0202	0.01	0.0705	0	0	0.0402	0	0	0	0	0	0	0	0	0.0101	0	0	0.0101	0	0	0	0	0.0101	0.0101	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0.0605	0	0	0.0203	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.1
Malassezia	0	0.01	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0.0101	0	0	0	0	0	0	0	0.0202	0	0	0.01	0	0	0	0	0.02	0	0	0	0	0	0	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0.0302	0	0	0	0	0.0305	0	0	0	0	0	0.0101	0	0.0502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Tetracladium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.162	0	0	0	0.0101	0	0	0	0	0.0101	0	0.0302	0	0	0	0.0202	0	0.0202	0.0101	0	0	0	0.0201	0	0.0503	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Fusarium	0.01	0	0	0.202	0.0101	0.0303	0.0708	0	0.0806	0	0	0.0101	0	0.0202	0.0303	0.0101	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0.0303	0	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0.0101	0	0	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Ochroconis	0	0	0	0.0202	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.0606	0.0608	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0605	0	0.0101	0	0	0.0101	0	0.724	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0	0.0402	0	0.0101	0	0	0	0	0.0102	0	0.0605	0	0	0.0101	0.121	0.0101	0	0.0101	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.00999	0.01	0	0	0	0	0	0	0	0	0.01	0.0603	0	0	0	0.1
Orbilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Paraphoma	0	0	0	0.0101	0	0.0101	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0.0101	0	0	0.0101	0	0.0101	0	0	0	0	0	0.0202	0	0	0	0	0	0.0101	0	0	0.0303	0	0	0	0	0.0303	0	0.0101	0.0101	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Nectria	0	0	0	0	0.0101	0	0.0304	0	0	0	0	0	0	0.111	0	0	0	0	0.0202	0	0.0101	0	0	0	0	0.0101	0	0.0101	0	0	0	0	0.0502	0	0	0	0	0	0.0202	0	0	0	0	0	0	0	0	0	0	0.01	0	0.0203	0.0203	0	0	0	0.0202	0	0	0.0101	0.0101	0.0303	0.0202	0	0	0.0202	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0201	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0.0201	0.0101	0	0	0.0102	0	0	0.0101	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
