ID	Fun2DMH6301	Fun2DMH6302	Fun2DMH6303	Fun2DMH6304	Fun2DMH6305	Fun2DMH6306	Fun2DMH6307	Fun2DMH6308	Fun2DMH6309	Fun2DMH6310	Fun2DMH6311	Fun2DMH6312	Fun2DMH63ZH01	Fun2DMH63ZH02	Fun2DMH63ZH03	Fun2DMH63ZH04	Fun2DMH63ZH05	Fun2DMH63ZH06	Fun2DMH63ZH07	Fun2DMH63ZH08	Fun2DMH63ZH09	Fun2DMH63ZH10	Fun2DMH63ZH11	Fun2DMH63ZH12	Fun2DMH63ZH13	Fun2DMH63ZH14	Fun2DMH63ZH15	Fun2DWYJ01	Fun2DWYJ02	Fun2DWYJ03	Fun2DWYJ04	Fun2DWYJ05	Fun2DWYJ06	Fun2DWYJ07	Fun2DWYJ08	Fun2DWYJ09	Fun2DWYJ10	Fun2DWYJ11	Fun2DWYJ12	Fun2DWYJ13	Fun2DWYJ14	Fun2DWYJ15	Fun2WMH6301	Fun2WMH6302	Fun2WMH6303	Fun2WMH6304	Fun2WMH6305	Fun2WMH6306	Fun2WMH6307	Fun2WMH6308	Fun2WMH6309	Fun2WMH6310	Fun2WMH6311	Fun2WMH6312	Fun2WMH63ZH01	Fun2WMH63ZH02	Fun2WMH63ZH03	Fun2WMH63ZH04	Fun2WMH63ZH05	Fun2WMH63ZH06	Fun2WMH63ZH07	Fun2WMH63ZH08	Fun2WMH63ZH09	Fun2WMH63ZH10	Fun2WMH63ZH11	Fun2WMH63ZH12	Fun2WMH63ZH13	Fun2WMH63ZH14	Fun2WMH63ZH15	Fun2WWYJ01	Fun2WWYJ02	Fun2WWYJ03	Fun2WWYJ04	Fun2WWYJ05	Fun2WWYJ06	Fun2WWYJ07	Fun2WWYJ08	Fun2WWYJ09	Fun2WWYJ10	Fun2WWYJ11	Fun2WWYJ12	Fun2WWYJ13	Fun2WWYJ14	Fun2WWYJ15	FunDMH6301	FunDMH6302	FunDMH6303	FunDMH6304	FunDMH6305	FunDMH6306	FunDMH6307	FunDMH6308	FunDMH6309	FunDMH6310	FunDMH6311	FunDMH6312	FunDMH6313	FunDMH6314	FunDMH6315	FunDMH63ZH01	FunDMH63ZH02	FunDMH63ZH03	FunDMH63ZH04	FunDMH63ZH05	FunDMH63ZH06	FunDMH63ZH07	FunDMH63ZH08	FunDMH63ZH09	FunDMH63ZH10	FunDMH63ZH11	FunDMH63ZH12	FunDMH63ZH13	FunDMH63ZH14	FunDMH63ZH15	FunDWYJ01	FunDWYJ02	FunDWYJ03	FunDWYJ04	FunDWYJ05	FunDWYJ06	FunDWYJ07	FunDWYJ08	FunDWYJ09	FunDWYJ10	FunDWYJ11	FunDWYJ12	FunDWYJ13	FunDWYJ14	FunDWYJ15	FunWMH6301	FunWMH6302	FunWMH6303	FunWMH6304	FunWMH6305	FunWMH6306	FunWMH6307	FunWMH6308	FunWMH6309	FunWMH6310	FunWMH6311	FunWMH6312	FunWMH6313	FunWMH6314	FunWMH6315	FunWMH63ZH01	FunWMH63ZH02	FunWMH63ZH03	FunWMH63ZH04	FunWMH63ZH05	FunWMH63ZH06	FunWMH63ZH07	FunWMH63ZH08	FunWMH63ZH09	FunWMH63ZH10	FunWMH63ZH11	FunWMH63ZH12	FunWMH63ZH13	FunWMH63ZH14	FunWMH63ZH15	FunWWYJ01	FunWWYJ02	FunWWYJ03	FunWWYJ04	FunWWYJ05	FunWWYJ06	FunWWYJ07	FunWWYJ08	FunWWYJ09	FunWWYJ10	FunWWYJ11	FunWWYJ12	FunWWYJ13	FunWWYJ14	FunWWYJ15
OTU_1016	2	0	2	1	1	2	0	1	1	1	3	1	1	1	1	3	3	0	3	0	2	5	1	1	0	4	1	2	1	1	0	3	0	0	5	1	1	2	0	1	1	2	1	0	2	0	3	1	1	1	1	2	0	1	2	0	0	1	0	1	0	0	2	1	1	0	0	2	1	0	0	0	3	2	1	0	2	1	0	2	3	1	2	1	2	1	0	3	1	0	2	0	1	0	2	0	0	0	1	0	0	0	1	1	1	1	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	0	3	1	3	1	1	1	0	1	1	1	0	0	1	0	0	0	2	0	1	2	0	2	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0
OTU_1017	2	7	0	0	0	0	1	0	0	4	3	1	8	0	0	11	0	1	1	1	4	7	2	2	1	1	8	0	0	1	0	0	1	8	1	5	1	0	0	0	0	1	1	1	3	1	2	1	4	3	1	0	1	0	2	0	0	1	1	0	0	2	1	0	2	3	2	1	3	1	2	0	0	3	1	5	6	2	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0
OTU_1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19	25	96	1	4	0	1	0	0	0	0	0	41	0	0	0	0	0	3	0	0	0	0	0	0	40	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_1019	3	2	2	1	6	6	3	2	0	0	1	1	2	0	5	1	4	0	3	1	2	0	2	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	6	7	2	1	0	1	4	3	5	2	1	2	0	1	2	4	2	4	3	0	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	5	6	3	6	1	0	6	3	13	3	0	1	6	3	1	1	3	18	5	3	4	3	5	4	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	3	8	6	5	6	3	1	3	4	3	3	4	5	5	5	6	0	5	2	3	1	5	5	5	7	10	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_102	0	0	0	0	0	0	0	0	3	1	10	0	7	11	0	0	0	14	45	23	16	11	226	8	4	67	2	1	5	4	0	0	9	9	2	0	4	0	1	7	0	4	0	2	5575	23	25	0	2	0	16	2	20	117	44	4	43	0	3	23	3	5	5	4	3	14	23	3	33	0	0	0	0	0	0	1	2	3	0	0	19	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1021	3	2	1	1	6	1	4	3	2	1	1	5	3	2	2	5	5	3	0	1	9	3	3	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	3	3	1	0	4	2	1	0	5	2	1	1	0	0	1	0	1	2	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	1	2	1	0	0	1	2	0	1	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	4	1	1	1	0	2	1	3	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1023	0	3	1	2	2	2	2	0	2	1	6	3	2	2	4	0	0	0	0	1	3	2	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	2	0	1	2	1	2	2	1	0	4	1	2	0	0	1	3	1	1	2	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	2	0	1	0	1	3	0	1	1	1	7	1	1	0	1	2	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	4	1	3	0	2	2	3	0	5	2	2	0	0	1	2	0	0	3	2	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	1	13	0	0	0	5	0	0	5	0	0	0	11	30	0	0	0	10	0	21	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	5	0	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	6	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	8	0	5	0	0	0	0	1	0	1	0
OTU_1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	1	3	3	1	4	1	5	2	3	4	4	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	5	5	1	4	5	5	6	6	3	2	5	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	3	1	2	1	0	1	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	9	0	2	3	10	3	2	0	2	5	8	1
OTU_1027	2	2	1	1	0	1	1	0	2	1	1	1	0	0	2	2	2	2	2	3	4	1	0	2	2	2	1	0	0	1	0	0	1	2	3	1	1	1	1	1	2	2	1	0	2	0	0	1	0	2	2	0	2	0	1	2	1	0	1	1	0	2	1	0	1	0	3	0	0	1	0	0	1	1	1	0	0	1	2	2	1	1	2	2	1	2	1	1	1	0	2	1	0	0	1	1	2	1	0	2	0	1	1	2	4	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	1	0	1	0	4	1	1	2	0	1	0	0	1	0	2	1	0	0	0	1	0	2	1	0	1	0	0	1	1	0	0	1	0	0	0	2	0	0	0	2
OTU_1028	3	3	0	1	1	2	2	4	1	0	2	5	2	2	5	1	1	1	5	1	2	7	2	0	1	0	3	2	0	0	0	0	0	0	2	0	0	1	3	2	1	2	0	1	9	3	2	2	1	4	8	7	3	3	1	2	3	0	1	2	0	2	3	3	3	0	4	6	0	1	1	2	1	1	2	0	1	6	0	2	4	1	1	2	0	1	4	2	2	2	2	0	4	4	3	4	3	1	1	4	4	2	2	2	8	1	3	0	3	4	1	2	1	0	0	0	0	0	0	3	0	0	0	2	1	0	0	1	1	6	0	4	5	6	7	4	4	1	7	1	4	8	1	2	0	0	1	0	0	2	2	1	3	0	4	2	0	2	4	0	0	1	0	0	0	2	1	0	0	0	0	1	1	0
OTU_1029	0	1	1	2	2	2	3	2	5	1	3	2	1	0	11	1	0	1	1	2	0	1	0	5	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	2	0	2	3	1	2	1	0	0	1	2	2	0	2	0	0	0	2	3	1	0	3	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	2	0	2	0	1	3	1	1	1	1	1	0	0	0	2	1	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	2	2	1	5	1	3	0	0	0	0	4	1	2	0	0	0	0	0	1	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_103	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	108	96	84	119	104	84	120	106	133	116	131	100	111	121	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	175	110	81	84	75	118	149	145	125	125	118	104	93	88	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	47	55	35	31	35	35	43	63	30	52	59	80	99	77	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	99	68	76	202	70	118	95	198	137	72	70	64	84	106	120
OTU_1030	1	3	0	1	0	2	4	2	3	0	4	0	3	1	2	6	2	2	3	2	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	2	4	4	7	1	3	6	1	0	2	1	6	2	1	0	1	2	1	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	1	1	0	0	1	1	1	0	0	2	1	0	4	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	1	1	2	0	1	2	1	0	0	3	0	0	1	1	1	2	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
